date (yyyy/mm/dd),time (UT),detector,AW (deg),Central PA (deg),height (Rs),center_mass (Rs),mass (g),potential (erg)
2011/06/05,07:38:18,C2,51.00,40.35,5.20,3.43,3.181e+15,4.263e+30
2013/05/27,19:54:00,c2A,56.00,219.8,4.20,3.00,8.406e+14,1.085e+30
2013/04/24,05:55:00,c1A,38.00,228.56,2.00,1.46,3.366e+15,2.024e+30
2013/05/27,23:39:27,c2B,92.00,181.23,13.80,8.13,3.762e+15,6.329e+30
2013/05/02,05:25:00,c1A,61.00,48.53,3.10,2.53,1.203e+15,1.429e+30
2013/05/17,20:25:27,c1B,34.00,139.84,1.80,1.64,3.182e+14,2.417e+29
2013/05/02,05:30:00,c1A,61.00,49.07,3.40,2.75,1.405e+15,1.761e+30
2013/05/02,05:30:00,c1A,66.00,48.43,3.40,2.67,1.530e+15,1.881e+30
2013/05/02,05:30:00,c1A,68.00,47.66,3.40,2.63,1.600e+15,1.945e+30
2013/06/07,22:55:00,c1A,40.00,139.74,1.85,1.60,1.284e+15,9.461e+29
2013/05/02,07:39:27,c2B,59.00,338.73,6.50,4.76,3.446e+15,5.208e+30
2013/01/23,15:24:56,c2B,55.00,314.64,6.00,4.40,1.434e+15,2.129e+30
2013/05/27,19:55:00,c1A,48.00,220.21,3.70,2.79,1.373e+15,1.752e+30
2013/05/02,05:34:23,C2,45.00,344.27,2.80,2.34,1.013e+15,1.118e+30
2013/06/07,23:39:00,c2A,52.00,145.29,4.80,3.22,2.604e+15,3.441e+30
2010/12/14,18:39:51,c2B,87.00,320.3,15.50,9.02,6.085e+15,1.030e+31
2011/03/17,14:24:00,c2A,70.00,239.91,10.50,5.51,9.380e+15,1.444e+31
2011/06/05,07:54:00,c2A,90.00,43.3,5.20,3.60,3.904e+15,5.477e+30
2013/01/23,14:35:00,c1A,80.00,35.17,2.90,2.20,1.528e+15,1.634e+30
2013/04/24,07:11:17,C2,44.00,155.09,5.50,3.13,1.199e+15,1.531e+30
2013/04/24,07:11:17,C2,45.00,155.78,5.50,3.13,1.210e+15,1.545e+30
2011/03/17,12:54:00,c2A,60.00,242.31,3.60,2.85,1.294e+15,1.628e+30
2010/12/12,05:35:51,c1B,45.00,322.43,2.85,1.64,1.684e+15,1.227e+30
2013/05/17,21:00:00,c1A,56.00,201.76,3.10,2.29,1.116e+15,1.256e+30
2013/01/29,06:54:55,c2B,50.00,352.89,8.20,4.91,6.096e+14,9.143e+29
2010/12/14,17:24:00,c2A,90.00,36.43,9.70,5.75,5.957e+15,9.377e+30
2013/01/29,06:54:00,c2A,55.00,35.37,9.40,5.53,7.951e+14,1.215e+30
2013/01/23,17:54:56,c2B,78.00,319.61,12.50,8.38,3.189e+15,5.403e+30
2011/03/17,12:25:00,c1A,40.00,243.13,2.50,1.76,1.323e+15,1.082e+30
2010/12/14,15:45:51,c1B,75.00,319.61,2.70,1.99,3.067e+15,3.017e+30
2013/01/29,03:05:00,c1A,53.00,27.73,3.00,2.18,8.884e+14,9.223e+29
2013/02/09,07:23:01,C2,65.00,347.45,4.40,2.96,3.220e+15,4.063e+30
2013/05/02,09:24:27,c2B,63.00,339.78,9.60,6.80,3.824e+15,6.237e+30
2013/06/07,23:30:19,c1B,57.00,152.87,3.70,2.51,3.125e+15,3.611e+30
2013/04/24,07:23:17,C2,45.00,155.86,6.20,3.40,1.394e+15,1.837e+30
2013/02/09,06:50:00,c1A,63.00,54.7,3.60,2.48,2.420e+15,2.781e+30
2010/12/12,07:24:51,c2B,42.00,318.79,5.00,4.08,5.037e+14,7.299e+29
2013/06/07,23:20:00,c1A,60.00,142.04,3.20,2.37,2.738e+15,3.107e+30
2013/06/07,23:15:00,c1A,60.00,142.3,2.90,2.17,2.654e+15,2.806e+30
2013/05/02,07:24:00,c2A,73.00,42.09,7.50,5.07,3.902e+15,6.004e+30
2013/02/09,07:39:00,c2A,61.00,58.9,6.80,4.21,2.533e+15,3.656e+30
2013/05/02,05:20:27,c1B,47.00,330.93,1.85,1.50,9.525e+14,6.318e+29
2013/02/09,06:45:00,c1A,60.00,56.43,3.30,2.35,2.264e+15,2.497e+30
2010/12/14,15:40:00,c1A,72.00,37.41,2.50,1.88,2.738e+15,2.549e+30
2011/06/05,05:50:25,c1B,67.00,314.71,3.80,2.99,1.285e+15,1.846e+30
2011/06/05,04:00:00,c1A,60.00,47.75,2.70,2.02,8.482e+14,8.481e+29
2013/01/23,14:05:00,c1A,85.00,34.71,2.00,1.66,7.591e+14,6.265e+29
2013/01/29,06:24:00,c2A,55.00,34.8,8.20,5.00,7.840e+14,1.173e+30
2011/06/05,05:11:08,C2,40.00,38.05,2.85,2.36,5.009e+14,5.537e+29
2010/12/14,15:50:51,c1B,75.00,319.61,2.90,2.14,3.018e+15,3.189e+30
2013/04/24,08:54:00,c2A,45.00,222.17,13.00,6.81,2.392e+15,3.829e+30
2011/06/05,03:50:25,c1B,62.00,313.98,2.70,2.40,4.933e+14,6.152e+29
2013/01/29,04:23:49,C2,51.00,345.38,4.60,3.15,6.421e+14,8.259e+29
2013/01/29,02:45:55,c1B,58.00,337.59,2.40,1.84,9.156e+14,8.202e+29
2013/05/17,21:05:27,c1B,56.00,141.99,3.30,2.29,1.559e+15,1.702e+30
2013/05/02,05:20:00,c1A,37.00,53.5,2.80,2.42,7.771e+14,8.909e+29
2013/05/02,05:20:00,c1A,48.00,51.07,2.80,2.29,1.032e+15,1.129e+30
2013/05/02,05:20:00,c1A,53.00,51.67,2.80,2.28,1.055e+15,1.151e+30
2013/01/29,02:25:55,c1B,46.00,334.42,2.10,1.65,6.815e+14,5.260e+29
2013/01/29,07:24:55,c2B,50.00,353.28,8.70,5.43,5.129e+14,7.882e+29
2010/12/12,07:24:00,c2A,44.00,41.52,5.00,3.64,8.934e+14,1.231e+30
2013/01/29,03:15:55,c1B,58.00,340.54,3.00,2.16,9.450e+14,9.716e+29
2011/03/17,13:05:26,c1B,66.00,118.81,3.90,2.51,5.885e+15,6.818e+30
2013/02/09,06:39:00,c2A,59.00,61.75,3.40,2.69,3.860e+14,4.697e+29
2011/06/05,07:53:06,C2,56.00,40.51,5.75,3.63,3.632e+15,4.965e+30
2013/05/02,09:24:00,c2A,87.00,40.69,11.00,7.59,4.036e+15,6.756e+30
2013/01/29,02:45:00,c1A,53.00,26.42,2.40,1.93,6.862e+14,6.435e+29
2013/06/08,01:54:19,c2B,57.00,165.98,12.50,7.80,4.568e+15,7.584e+30
2013/02/09,06:59:01,C2,53.00,347.35,3.10,2.50,1.791e+15,2.070e+30
2013/06/07,23:05:19,c1B,52.00,146.86,2.25,1.81,1.960e+15,1.715e+30
2010/12/14,18:24:51,c2B,87.00,319.68,14.50,8.59,5.787e+15,9.760e+30
2013/05/27,19:20:00,c1A,39.00,228.86,2.40,1.61,7.033e+15,5.042e+30
2013/05/27,19:30:27,c1B,58.00,190.85,2.05,1.75,7.045e+14,6.064e+29
2010/12/12,05:25:00,c1A,40.00,37.76,2.70,1.81,7.685e+14,6.465e+29
2011/06/05,06:40:00,c1A,72.00,44.58,3.90,2.62,2.912e+15,3.512e+30
2011/06/05,03:10:25,c1B,57.00,312.63,2.20,2.13,1.845e+14,2.126e+29
2013/01/23,16:24:56,c2B,65.00,315.59000000000003,8.50,5.75,2.248e+15,3.552e+30
2010/12/12,06:33:36,C2,41.00,28.69,3.40,2.80,2.944e+14,3.653e+29
2013/04/24,06:20:00,c1A,42.00,226.04,3.00,1.94,1.484e+15,1.362e+30
2011/06/05,03:00:25,c1B,57.00,320.08,2.00,2.42,5.925e+13,8.524e+28
2013/05/27,23:54:27,c2B,89.00,180.65,14.20,8.58,3.815e+15,6.470e+30
2010/12/12,10:24:51,c2B,46.00,316.95,10.80,8.15,2.473e+15,4.153e+30
2010/12/14,15:59:05,C2,90.00,319.92,3.30,2.51,1.957e+15,2.327e+30
2010/12/12,10:39:00,c2A,44.00,43.59,11.30,8.61,2.548e+15,4.318e+30
2013/05/17,21:34:48,C2,63.00,197.06,4.20,2.79,1.343e+15,1.661e+30
2013/05/02,08:24:00,c2A,87.00,41.24,9.40,6.29,4.158e+15,6.728e+30
2011/06/05,06:39:25,c2B,68.00,311.26,5.00,3.51,9.498e+14,1.314e+30
2011/03/17,14:54:00,c2A,70.00,239.70999999999998,12.80,6.71,9.932e+15,1.585e+31
2013/01/29,02:25:00,c1A,48.00,28.37,2.00,1.72,3.970e+14,3.253e+29
2013/02/09,06:40:00,c1A,58.00,57.06,3.00,2.20,2.089e+15,2.198e+30
2013/05/17,20:15:00,c1A,30.00,215.55,1.60,1.49,2.347e+14,1.500e+29
2013/05/02,05:45:27,c1B,64.00,328.85,2.80,2.04,2.444e+15,2.463e+30
2013/05/17,21:10:49,C2,52.00,192.8,3.20,2.51,5.858e+14,6.861e+29
2011/06/05,04:30:00,c1A,62.00,47.2,3.00,2.15,1.154e+15,1.221e+30
2011/06/05,07:54:25,c2B,80.00,314.36,5.60,4.03,3.412e+15,4.961e+30
2013/01/23,15:39:56,c2B,68.00,314.83,6.50,4.64,1.789e+15,2.698e+30
2013/02/09,07:24:00,c2A,61.00,58.74,5.80,3.78,2.255e+15,3.154e+30
2011/06/05,04:50:00,c1A,66.00,46.93,3.20,2.20,1.392e+15,1.498e+30
2013/06/07,23:00:19,c1B,45.00,145.07,2.00,1.72,1.393e+15,1.138e+30
2013/05/17,21:54:00,c2A,43.00,195.46,5.80,3.78,1.654e+15,2.309e+30
2013/05/27,21:24:27,c2B,88.00,186.05,7.40,4.93,1.654e+15,2.567e+30
2011/06/05,03:40:25,c1B,62.00,314.22,2.50,2.30,4.062e+14,4.926e+29
2011/03/17,14:39:00,c2A,70.00,239.91,12.00,6.13,9.789e+15,1.537e+31
2011/03/17,14:39:00,c2A,70.00,239.85,11.50,6.09,9.721e+15,1.525e+31
2010/12/14,15:30:51,c1B,57.00,319.37,2.20,1.59,2.423e+15,1.761e+30
2010/12/14,15:30:51,c1B,65.00,319.02,2.10,1.58,2.487e+15,1.807e+30
2013/05/17,20:50:27,c1B,53.00,139.73,2.60,1.99,1.243e+15,1.205e+30
2013/05/02,06:46:23,C2,65.00,350.45,5.50,3.63,3.983e+15,5.467e+30
2011/06/05,06:10:00,c1A,72.00,44.72,3.70,2.42,2.396e+15,2.758e+30
2011/03/17,13:54:26,c2B,67.00,119.2,8.00,4.90,4.957e+15,7.547e+30
2013/05/17,21:58:47,C2,63.00,198.02,5.30,3.32,1.595e+15,2.128e+30
2013/02/09,08:54:52,c2B,70.00,315.72,10.00,5.87,3.724e+15,5.866e+30
2011/03/17,12:47:42,C2,93.00,124.22,2.80,2.14,1.060e+15,1.156e+30
2013/02/09,07:39:52,c2B,60.00,320.4,5.80,4.09,1.915e+15,2.781e+30
2010/12/14,16:54:00,c2A,85.00,36.55,7.50,4.60,5.235e+15,7.845e+30
2010/12/12,07:09:25,C2,42.00,29.87,4.20,3.18,5.246e+14,6.831e+29
2011/06/05,06:54:00,c2A,82.00,44.72,4.00,3.09,1.698e+15,2.249e+30
2010/12/14,15:35:51,c1B,75.00,319.62,2.25,1.70,2.884e+15,2.370e+30
2010/12/12,06:45:34,C2,42.00,29.53,3.60,2.91,3.408e+14,4.304e+29
2013/02/09,06:45:52,c1B,65.00,316.97,2.80,2.00,2.501e+15,2.437e+30
2011/06/05,03:40:00,c1A,55.00,47.11,2.60,1.95,6.663e+14,6.391e+29
2011/06/05,06:54:25,c2B,73.00,311.63,5.00,3.56,1.337e+15,1.863e+30
2010/12/12,08:39:51,c2B,47.00,317.69,7.20,5.32,1.701e+15,2.633e+30
2013/02/09,07:54:00,c2A,61.00,58.91,7.80,4.63,2.751e+15,4.068e+30
2010/12/14,15:45:00,c1A,75.00,36.61,2.80,2.02,2.977e+15,2.980e+30
2011/03/17,13:39:26,c2B,67.00,118.67,6.60,4.48,3.474e+15,5.181e+30
2013/06/08,00:54:00,c2A,76.00,151.97,9.30,5.44,6.421e+15,9.990e+30
2011/06/05,09:54:00,c2A,120.00,44.83,9.50,5.48,6.636e+15,1.046e+31
2013/01/23,14:39:00,c2A,75.00,43.47,3.50,2.78,7.132e+14,8.974e+29
2010/12/12,08:54:51,c2B,46.00,317.6,7.80,5.80,1.802e+15,2.846e+30
2013/01/23,17:24:00,c2A,84.00,33.96,11.00,6.53,3.275e+15,5.309e+30
2013/05/02,05:30:27,c1B,52.00,332.56,2.30,1.77,1.725e+15,1.478e+30
2011/06/05,06:24:37,C2,44.00,39.39,3.40,2.65,1.421e+15,1.695e+30
2011/06/05,06:10:25,c1B,67.00,314.72,3.80,2.90,1.781e+15,2.425e+30
2011/06/05,06:54:11,C2,48.00,40.13,3.90,2.91,1.951e+15,2.450e+30
2013/05/02,05:50:27,c1B,64.00,329.35,3.00,2.16,2.551e+15,2.699e+30
2013/01/29,03:11:52,C2,40.00,353.28,3.10,2.43,4.203e+14,4.768e+29
2013/01/29,03:39:55,c2B,58.00,346.97,3.80,3.21,2.151e+14,2.861e+29
2013/01/23,15:22:53,C2,90.00,15.84,5.00,3.32,2.244e+15,3.049e+30
2013/05/27,21:54:27,c2B,88.00,185.58,8.60,5.62,2.102e+15,3.347e+30
2011/06/05,06:20:00,c1A,72.00,45.05,3.70,2.47,2.539e+15,2.959e+30
2013/05/27,19:35:00,c1A,45.00,226.23,2.90,1.98,2.527e+15,2.363e+30
2011/06/05,05:25:51,C2,40.00,38.22,3.00,2.40,6.731e+14,7.536e+29
2010/12/12,07:54:00,c2A,44.00,42.38,5.80,4.18,1.256e+15,1.812e+30
2013/05/02,05:15:00,c1A,37.00,54.13,2.40,2.01,8.281e+14,8.031e+29
2010/12/12,11:39:51,c2B,48.00,317.4,13.40,9.93,3.037e+15,5.216e+30
2010/12/14,16:24:51,c2B,77.00,321.71,5.30,3.90,2.539e+15,3.656e+30
2013/05/02,06:10:54,C2,65.00,348.53,4.30,3.01,3.047e+15,3.902e+30
2013/02/09,06:47:02,C2,48.00,347.38,2.50,2.21,1.035e+15,1.098e+30
2013/01/23,15:24:00,c2A,87.00,34.43,5.40,3.68,1.870e+15,2.645e+30
2013/04/24,07:54:28,c2B,54.00,170.58,8.00,5.22,8.437e+14,1.304e+30
2013/05/02,07:39:00,c2A,87.00,41.38,7.80,5.24,3.991e+15,6.204e+30
2013/04/24,06:30:00,c1A,41.00,225.19,3.50,2.15,1.539e+15,1.548e+30
2013/01/29,02:35:00,c1A,53.00,27.45,2.25,1.83,5.378e+14,4.742e+29
2013/05/02,08:54:27,c2B,63.00,339.36,8.90,6.25,3.958e+15,6.350e+30
2013/05/27,19:20:27,c1B,50.00,188.78,1.80,1.63,2.735e+14,2.101e+29
2011/06/05,10:24:00,c2A,120.00,45.13,10.50,6.02,6.611e+15,1.062e+31
2011/06/05,05:00:25,c1B,70.00,315.5,3.60,2.73,1.095e+15,1.455e+30
2013/01/29,07:39:00,c2A,55.00,36.65,11.00,5.74,7.950e+14,1.210e+30
2013/06/08,01:39:00,c2A,76.00,152.19,12.00,7.04,6.750e+15,1.102e+31
2010/12/12,07:39:51,c2B,47.00,319.8,5.40,4.22,7.780e+14,1.137e+30
2013/01/29,05:54:00,c2A,55.00,34.63,7.40,4.73,7.313e+14,1.083e+30
2013/05/17,20:45:00,c1A,52.00,208.22,2.50,1.84,1.135e+15,1.011e+30
2013/01/29,03:59:49,C2,48.00,347.61,4.00,2.90,6.194e+14,7.694e+29
2013/05/02,05:35:27,c1B,64.00,329.76,2.50,1.87,1.957e+15,1.826e+30
2010/12/14,15:47:04,C2,82.00,315.92,3.00,2.31,1.463e+15,1.644e+30
2011/06/05,09:39:25,c2B,95.00,315.34000000000003,11.00,5.97,6.348e+15,1.010e+31
2013/05/17,22:39:00,c2A,49.00,189.37,7.80,4.72,2.617e+15,3.893e+30
2013/04/24,06:24:00,c2A,35.00,222.63,3.50,2.83,1.296e+14,1.618e+29
2011/06/05,06:20:25,c1B,67.00,314.69,3.80,2.81,2.039e+15,2.641e+30
2011/06/05,07:08:53,C2,48.00,40.35,4.30,3.07,2.326e+15,2.988e+30
2013/05/17,21:05:00,c1A,56.00,200.61,3.30,2.55,9.558e+14,1.189e+30
2013/04/24,06:15:28,c1B,35.00,182.18,2.30,1.84,2.498e+14,2.214e+29
2011/06/05,08:07:50,C2,56.00,40.56,6.30,3.87,3.985e+15,5.567e+30
2013/04/24,07:39:28,c2B,54.00,171.04,7.00,4.91,5.370e+14,8.198e+29
2013/02/09,08:39:52,c2B,70.00,316.36,9.00,5.35,3.470e+15,5.363e+30
2013/05/17,23:39:00,c2A,50.00,187.16,11.00,6.31,3.333e+15,5.270e+30
2013/06/08,00:24:19,c2B,50.00,161.56,7.00,4.94,2.327e+15,3.558e+30
2013/04/24,09:54:28,c2B,60.00,169.02,15.00,8.64,2.480e+15,4.162e+30
2011/06/05,06:30:25,c1B,70.00,315.05,3.95,2.61,2.709e+15,3.170e+30
2011/06/05,06:30:25,c1B,70.00,314.98,4.00,2.62,2.723e+15,3.191e+30
2013/01/23,13:45:56,c1B,45.00,305.32,2.10,1.62,9.870e+14,7.323e+29
2010/12/12,06:10:51,c1B,42.00,320.99,3.20,1.88,1.276e+15,1.093e+30
2010/12/12,06:10:51,c1B,44.00,320.52,3.30,1.91,1.330e+15,1.154e+30
2011/06/05,04:10:00,c1A,62.00,46.68,2.90,2.07,1.041e+15,1.058e+30
2010/12/12,08:24:00,c2A,44.00,43.05,6.70,4.89,1.601e+15,2.419e+30
2013/05/17,23:24:00,c2A,50.00,187.37,10.00,5.90,3.138e+15,4.903e+30
2013/01/29,03:00:55,c1B,58.00,339.43,2.80,2.06,8.940e+14,8.910e+29
2013/05/27,19:45:27,c1B,80.00,190.21,2.60,1.97,1.413e+15,1.400e+30
2013/05/02,05:46:24,C2,55.00,347.79,3.40,2.60,1.916e+15,2.266e+30
2013/04/24,07:24:28,c2B,54.00,171.44,6.00,4.70,3.477e+14,5.264e+29
2013/01/29,02:20:55,c1B,46.00,334.28,2.00,1.61,5.235e+14,3.872e+29
2011/06/05,09:24:00,c2A,90.00,44.17,8.50,5.13,5.806e+15,8.981e+30
2011/06/05,09:24:00,c2A,110.00,44.67,8.50,5.02,6.115e+15,9.436e+30
2013/05/27,19:40:27,c1B,80.00,190.11,2.40,1.89,1.165e+15,1.113e+30
2013/01/23,16:24:00,c2A,87.00,33.96,8.50,5.09,2.711e+15,4.185e+30
2013/04/24,06:30:28,c1B,52.00,179.59,2.90,1.94,5.432e+14,5.031e+29
2013/02/09,09:39:52,c2B,74.00,312.65,12.00,6.56,4.434e+15,7.112e+30
2011/06/05,08:24:00,c2A,90.00,43.63,6.40,4.09,4.947e+15,7.200e+30
2010/12/12,05:57:36,C2,33.00,24.12,2.80,2.66,9.100e+13,1.116e+29
2013/01/29,03:39:00,c2A,45.00,31.15,3.70,3.00,4.297e+14,5.499e+29
2013/01/29,03:54:00,c2A,47.00,31.98,4.00,3.19,5.024e+14,6.600e+29
2013/02/09,06:35:00,c1A,58.00,56.99,2.70,2.05,1.985e+15,1.975e+30
2013/06/08,02:24:19,c2B,57.00,166.14,14.50,8.90,4.782e+15,8.078e+30
2011/03/17,12:25:26,c1B,43.00,116.5,2.20,1.81,7.993e+14,7.018e+29
2013/05/17,20:54:00,c2A,30.00,205.2,3.40,2.70,1.513e+14,1.831e+29
2013/05/02,05:24:00,c2A,55.00,54.38,3.00,2.70,4.994e+14,6.071e+29
2010/12/12,06:05:00,c1A,40.00,38.85,3.20,2.00,1.035e+15,9.626e+29
2013/05/02,05:10:00,c1A,22.00,56.69,2.00,1.79,4.388e+14,3.730e+29
2013/06/07,23:39:19,c2B,35.00,153.28,5.00,4.12,2.183e+14,3.174e+29
2013/06/07,23:25:00,c1A,67.00,144.87,3.50,2.54,2.984e+15,3.596e+30
2011/03/17,12:35:00,c1A,45.00,244.63,2.60,1.84,2.404e+15,2.104e+30
2013/01/23,14:15:00,c1A,72.00,33.14,2.30,1.88,9.887e+14,9.368e+29
2013/01/23,14:10:53,C2,48.00,28.19,2.50,2.17,3.323e+14,3.479e+29
2013/04/24,06:20:28,c1B,35.00,182.15,2.50,1.92,2.526e+14,2.336e+29
2011/06/05,05:39:25,c2B,55.00,307.29,4.50,3.51,1.869e+14,2.575e+29
2013/05/27,21:54:00,c2A,56.00,216.14,9.50,5.90,3.126e+15,4.932e+30
2010/12/12,09:39:51,c2B,46.00,317.18,9.20,6.90,2.163e+15,3.533e+30
2013/05/27,19:39:00,c2A,48.00,224.02,3.70,2.81,3.195e+14,3.973e+29
2011/06/05,10:24:25,c2B,95.00,315.52,13.00,7.05,6.644e+15,1.088e+31
2010/12/12,11:54:00,c2A,44.00,43.1,14.20,10.66,3.067e+15,5.345e+30
2013/05/17,20:30:27,c1B,37.00,139.56,1.90,1.70,4.695e+14,3.790e+29
2013/05/17,21:46:47,C2,63.00,197.84,4.70,3.02,1.614e+15,2.064e+30
2013/01/29,04:11:49,C2,48.00,346.69,4.30,3.01,6.512e+14,8.222e+29
2013/05/02,06:00:27,c1B,67.00,330.36,3.70,2.49,3.046e+15,3.549e+30
2013/02/09,06:54:52,c2B,65.00,320.56,4.00,3.30,2.419e+14,3.274e+29
2013/01/29,04:47:50,C2,51.00,343.81,5.20,3.35,6.756e+14,8.855e+29
2011/06/05,08:22:34,C2,56.00,40.73,7.00,4.17,4.201e+15,6.012e+30
2013/05/17,21:10:27,c1B,56.00,142.48,3.50,2.40,1.655e+15,1.863e+30
2013/04/24,06:35:18,C2,43.00,152.84,3.60,2.49,4.739e+14,5.416e+29
2013/04/24,06:10:00,c1A,42.00,227.21,2.50,1.68,2.400e+15,1.849e+30
2011/03/17,13:24:00,c2A,67.00,241.07,5.40,3.45,5.484e+15,7.456e+30
2013/05/02,08:24:27,c2B,63.00,339.07,8.00,5.66,3.898e+15,6.130e+30
2011/06/05,06:39:00,c2A,77.00,45.6,3.80,2.98,1.350e+15,1.755e+30
2013/01/29,03:35:50,C2,46.00,350.59,3.60,2.68,5.663e+14,6.777e+29
2010/12/12,09:54:00,c2A,43.00,43.73,9.70,7.27,2.298e+15,3.778e+30
2011/06/05,04:20:00,c1A,62.00,46.86,2.90,2.11,1.155e+15,1.200e+30
2013/02/09,07:54:52,c2B,60.00,319.47,6.50,4.39,2.488e+15,3.681e+30
2013/05/02,06:39:27,c2B,59.00,337.68,4.80,3.76,2.285e+15,3.236e+30
2013/01/29,02:55:55,c1B,58.00,338.67,2.70,1.99,9.125e+14,8.814e+29
2010/12/14,16:11:04,C2,94.00,320.19,4.10,2.86,2.677e+15,3.403e+30
2013/05/27,21:10:45,C2,55.00,151.43,6.30,4.64,1.579e+15,2.380e+30
2011/03/17,15:24:26,c2B,74.00,120.15,15.50,8.52,8.386e+15,1.400e+31
2013/05/27,19:15:00,c1A,39.00,230.12,2.30,1.55,7.263e+15,4.914e+30
2013/01/23,15:46:53,C2,88.00,16.0,5.80,3.83,2.330e+15,3.326e+30
2013/04/24,06:11:19,C2,40.00,148.75,2.60,2.20,9.302e+13,9.836e+28
2013/04/24,07:54:00,c2A,41.00,221.96,8.50,5.01,1.877e+15,2.823e+30
2013/05/27,18:55:00,c1A,30.00,233.75,1.80,1.66,1.368e+14,1.054e+29
2011/06/05,07:24:00,c2A,90.00,42.86,4.50,3.30,2.701e+15,3.677e+30
2010/12/12,11:39:00,c2A,44.00,43.16,13.50,10.28,2.887e+15,5.010e+30
2013/01/29,02:55:00,c1A,53.00,27.52,2.70,2.05,7.766e+14,7.704e+29
2013/04/24,06:05:00,c1A,42.00,227.29,2.30,1.57,3.878e+15,2.686e+30
2013/05/02,08:39:00,c2A,87.00,40.56,9.80,6.60,3.998e+15,6.523e+30
2013/01/23,18:24:56,c2B,78.00,319.53,13.50,8.92,3.576e+15,6.081e+30
2010/12/12,08:21:35,C2,46.00,29.83,6.20,4.58,1.055e+15,1.574e+30
2010/12/12,05:35:00,c1A,40.00,37.8,2.90,1.89,7.872e+14,6.933e+29
2013/05/27,20:46:45,C2,55.00,151.42,5.30,3.87,1.454e+15,2.057e+30
2011/03/17,13:39:00,c2A,67.00,240.51,6.70,3.87,7.102e+15,1.002e+31
2010/12/12,06:25:00,c1A,42.00,38.2,3.70,2.26,1.024e+15,1.051e+30
2011/06/05,05:30:25,c1B,67.00,313.68,3.70,2.76,1.400e+15,1.866e+30
2011/06/05,05:54:25,c2B,55.00,307.54,4.80,3.53,3.464e+14,4.782e+29
2011/06/05,05:54:00,c2A,77.00,48.52,3.80,2.92,5.904e+14,7.568e+29
2013/05/27,19:50:27,c1B,83.00,190.86,2.80,2.05,1.589e+15,1.624e+30
2011/03/17,15:24:00,c2A,72.00,239.51,15.00,8.00,9.987e+15,1.640e+31
2013/01/29,04:24:55,c2B,58.00,348.49,4.50,3.59,3.745e+14,5.195e+29
2010/12/14,15:50:00,c1A,75.00,36.66,3.00,2.14,3.369e+15,3.535e+30
2011/03/17,13:47:40,C2,148.00,134.3,6.00,2.76,9.242e+15,1.231e+31
2013/05/17,21:54:27,c2B,50.00,145.08,5.80,4.45,7.054e+14,1.054e+30
2013/01/23,14:54:00,c2A,74.00,42.99,4.20,3.16,1.093e+15,1.457e+30
2013/05/27,19:35:27,c1B,58.00,191.42,2.20,1.85,8.288e+14,7.581e+29
2013/01/29,07:24:00,c2A,55.00,34.94,10.50,5.93,8.836e+14,1.364e+30
2013/01/23,17:39:56,c2B,78.00,319.36,11.80,8.01,2.712e+15,4.575e+30
2010/12/14,16:35:02,C2,97.00,320.92,5.60,3.60,3.420e+15,4.761e+30
2013/04/24,06:50:28,c1B,54.00,175.89,4.00,2.30,1.067e+15,1.140e+30
2013/01/23,18:39:56,c2B,78.00,319.61,14.50,9.67,2.868e+15,4.958e+30
2010/12/14,15:55:00,c1A,75.00,36.68,3.20,2.27,3.536e+15,3.870e+30
2010/12/12,11:24:00,c2A,44.00,43.16,13.00,9.86,2.856e+15,4.928e+30
2011/06/05,04:00:25,c1B,64.00,313.5,3.00,2.34,7.865e+14,9.276e+29
2011/06/05,05:39:00,c2A,67.00,49.59,3.80,2.91,4.332e+14,5.524e+29
2013/05/17,20:35:00,c1A,47.00,214.31,2.20,1.58,1.540e+15,1.093e+30
2013/04/24,06:39:00,c2A,35.00,222.49,4.30,3.11,3.576e+14,4.646e+29
2013/05/02,09:54:00,c2A,87.00,40.53,11.80,8.21,4.001e+15,6.775e+30
2010/12/12,10:39:51,c2B,47.00,317.15999999999997,11.40,8.45,2.727e+15,4.592e+30
2013/02/09,06:05:00,c1A,40.00,59.39,1.80,1.66,1.591e+14,1.232e+29
2013/04/24,08:54:28,c2B,57.00,170.26,11.50,6.71,1.849e+15,2.989e+30
2010/12/14,16:54:51,c2B,85.00,320.65,7.50,4.89,4.133e+15,6.320e+30
2013/01/29,02:35:55,c1B,50.00,335.55,2.20,1.76,7.966e+14,6.729e+29
2013/05/17,20:35:27,c1B,37.00,138.53,2.10,1.80,6.310e+14,5.458e+29
2013/05/17,20:35:27,c1B,41.00,138.46,2.10,1.79,6.818e+14,5.864e+29
2013/06/07,23:59:55,C2,58.00,214.59,6.00,3.65,3.381e+15,4.665e+30
2013/04/24,06:35:00,c1A,41.00,225.02,3.70,2.46,9.104e+14,1.052e+30
2013/05/02,06:39:00,c2A,70.00,42.76,6.00,4.19,3.431e+15,5.010e+30
2013/02/09,06:35:52,c1B,60.00,322.87,2.30,1.78,1.899e+15,1.639e+30
2011/03/17,12:55:26,c1B,65.00,118.1,3.40,2.24,5.098e+15,5.448e+30
2013/01/29,03:25:55,c1B,58.00,341.97,3.40,2.29,9.997e+14,1.068e+30
2013/02/09,08:54:00,c2A,66.00,57.37,11.00,6.26,3.334e+15,5.256e+30
2013/02/09,08:54:00,c2A,66.00,57.57,11.50,6.36,3.410e+15,5.389e+30
