date (yyyy/mm/dd),time (UT),detector,AW (deg),Central PA (deg),height (Rs),center_mass (Rs),mass (g),potential (erg)
2013/01/29,07:39:55,c2B,50.00,354.26,9.00,4.81,5.191e+14,7.680e+29
2013/02/09,06:54:00,c2A,59.00,60.12,4.00,3.03,1.163e+15,1.504e+30
2013/01/29,02:40:55,c1B,50.00,335.47,2.25,1.82,7.568e+14,6.668e+29
2013/06/07,22:55:19,c1B,40.00,143.94,1.80,1.63,6.762e+14,5.097e+29
2013/05/27,20:10:42,C2,55.00,151.87,3.90,2.99,1.113e+15,1.424e+30
2010/12/12,06:21:34,C2,41.00,27.45,3.20,2.66,2.589e+14,3.118e+29
2013/05/17,20:30:00,c1A,37.00,217.31,2.10,1.54,1.052e+15,7.015e+29
2013/05/17,20:30:00,c1A,42.00,215.39,2.00,1.52,1.130e+15,7.521e+29
2010/12/12,06:20:51,c1B,44.00,321.01,3.50,2.08,1.183e+15,1.120e+30
2013/06/08,01:24:00,c2A,76.00,152.32,11.00,6.52,6.865e+15,1.106e+31
2013/01/29,02:15:00,c1A,34.00,30.8,1.80,1.68,1.300e+14,1.014e+29
2011/06/05,09:54:25,c2B,95.00,316.02,11.50,6.24,6.437e+15,1.031e+31
2013/06/07,23:00:00,c1A,43.00,139.71,2.00,1.72,1.548e+15,1.271e+30
2011/06/05,08:39:00,c2A,90.00,43.77,7.00,4.33,5.400e+15,7.998e+30
2010/12/14,16:05:51,c1B,75.00,319.63,4.00,2.72,3.382e+15,4.212e+30
2010/12/14,17:54:51,c2B,87.00,319.98,12.00,7.22,5.577e+15,9.169e+30
2011/06/05,06:00:00,c1A,72.00,44.61,3.60,2.39,2.144e+15,2.457e+30
2013/01/23,16:54:56,c2B,78.00,318.87,10.00,6.70,2.738e+15,4.480e+30
2010/12/14,16:05:00,c1A,82.00,36.59,3.90,2.56,4.208e+15,4.986e+30
2011/03/17,13:05:00,c1A,63.00,241.03,4.00,2.65,5.126e+15,6.274e+30
2013/01/23,15:10:56,C2,90.00,16.13,4.50,3.10,2.029e+15,2.690e+30
2010/12/14,15:30:00,c1A,62.00,39.64,2.00,1.71,1.162e+15,9.621e+29
2013/05/27,20:54:00,c2A,56.00,215.7,6.50,4.31,2.155e+15,3.167e+30
2013/01/23,17:39:00,c2A,84.00,34.4,11.80,6.82,3.117e+15,5.089e+30
2010/12/12,06:24:00,c2A,42.00,39.99,3.70,3.04,2.851e+14,3.688e+29
2013/01/23,14:34:53,C2,75.00,20.24,3.20,2.59,1.018e+15,1.241e+30
2010/12/12,07:33:24,C2,44.00,29.4,5.00,3.59,8.022e+14,1.091e+30
2011/06/05,05:00:00,c1A,66.00,46.74,3.20,2.21,1.429e+15,1.541e+30
2013/01/23,14:55:00,c1A,85.00,32.64,3.80,2.79,1.386e+15,1.744e+30
2013/05/02,06:34:23,C2,65.00,349.78,5.20,3.45,3.821e+15,5.146e+30
2013/05/17,22:24:00,c2A,43.00,194.25,7.00,4.43,2.026e+15,2.960e+30
2013/05/17,22:24:00,c2A,48.00,190.26,7.00,4.35,2.398e+15,3.491e+30
2013/05/17,22:24:00,c2A,49.00,189.97,7.00,4.34,2.430e+15,3.537e+30
2013/05/02,05:25:27,c1B,50.00,330.28,2.10,1.65,1.306e+15,1.019e+30
2010/12/12,10:24:00,c2A,44.00,43.56,10.70,8.08,2.507e+15,4.198e+30
2013/06/07,23:24:00,c2A,46.00,144.69,4.00,2.89,1.201e+15,1.513e+30
2013/05/02,06:54:27,c2B,59.00,337.85,5.20,3.99,2.682e+15,3.868e+30
2013/04/24,09:24:00,c2A,45.00,221.81,15.00,7.67,2.366e+15,3.863e+30
2010/12/12,10:54:00,c2A,44.00,43.22,12.00,9.06,2.717e+15,4.637e+30
2013/04/24,06:25:00,c1A,42.00,226.05,3.30,2.07,1.346e+15,1.318e+30
2013/02/09,06:10:00,c1A,40.00,60.6,1.85,1.67,3.755e+14,2.948e+29
2013/01/29,03:23:49,C2,46.00,351.96,3.30,2.53,5.357e+14,6.214e+29
2013/02/09,06:25:52,c1B,50.00,319.94,2.00,1.61,1.580e+15,1.187e+30
2011/06/05,05:24:25,c2B,55.00,309.69,4.20,3.46,1.285e+14,1.760e+29
2011/03/17,12:45:00,c1A,50.00,243.75,2.85,2.08,3.253e+15,3.271e+30
2013/05/27,19:45:00,c1A,48.00,224.01,3.30,2.23,1.995e+15,2.088e+30
2013/04/24,06:10:28,c1B,30.00,185.39,2.10,1.80,1.606e+14,1.387e+29
2013/05/17,23:24:27,c2B,54.00,142.94,10.20,6.55,2.049e+15,3.307e+30
2010/12/14,15:35:38,C2,65.00,311.92,2.50,2.08,4.130e+14,4.225e+29
2013/05/27,22:39:00,c2A,56.00,216.87,12.00,7.29,3.746e+15,6.137e+30
2010/12/12,06:39:00,c2A,42.00,40.99,3.80,3.05,3.588e+14,4.637e+29
2013/05/02,05:54:00,c2A,68.00,45.77,4.30,3.40,2.071e+15,2.826e+30
2010/12/12,09:24:51,c2B,46.00,317.37,8.70,6.40,2.148e+15,3.453e+30
2013/01/29,04:59:49,C2,51.00,342.99,5.50,3.48,6.745e+14,8.967e+29
2013/05/17,20:55:00,c1A,54.00,204.05,2.80,2.18,1.018e+15,1.102e+30
2013/01/29,05:24:55,c2B,50.00,351.22,6.00,4.13,5.587e+14,8.064e+29
2013/06/08,01:54:00,c2A,76.00,152.48,13.00,7.66,7.250e+15,1.198e+31
2013/06/08,02:24:00,c2A,76.00,152.7,15.00,8.80,7.548e+15,1.270e+31
2013/06/08,00:11:55,C2,60.00,213.08,6.50,3.98,3.654e+15,5.188e+30
2013/06/07,23:23:56,C2,53.00,220.47,3.70,2.58,2.251e+15,2.654e+30
2013/01/29,03:24:00,c2A,45.00,30.39,3.30,2.83,2.809e+14,3.496e+29
2010/12/12,07:45:22,C2,45.00,29.77,5.20,3.77,8.190e+14,1.139e+30
2013/04/24,09:24:28,c2B,57.00,169.77,13.00,7.59,2.173e+15,3.582e+30
2013/04/24,09:24:28,c2B,60.00,169.51,13.00,7.53,2.215e+15,3.645e+30
2013/05/18,00:24:00,c2A,50.00,186.8,13.50,7.52,3.701e+15,6.032e+30
2013/05/18,00:24:00,c2A,52.00,186.2,13.50,7.51,3.799e+15,6.195e+30
2013/05/27,22:24:27,c2B,88.00,185.02,9.80,6.38,2.501e+15,4.070e+30
2013/05/27,22:24:27,c2B,90.00,184.27,10.00,6.36,2.565e+15,4.174e+30
2011/06/05,05:40:25,c1B,67.00,314.08,3.70,2.81,1.456e+15,1.971e+30
2011/06/05,06:39:26,C2,48.00,39.93,3.70,2.78,1.705e+15,2.090e+30
2013/01/29,05:54:55,c2B,50.00,352.46,6.80,4.57,4.989e+14,7.402e+29
2011/06/05,04:40:25,c1B,64.00,313.48,3.50,2.64,9.718e+14,1.261e+30
2010/12/12,10:54:51,c2B,47.00,317.13,12.00,8.83,2.851e+15,4.826e+30
2010/12/12,10:54:51,c2B,49.00,317.54,12.00,8.81,2.904e+15,4.914e+30
2010/12/12,10:54:51,c2B,48.00,317.36,12.00,8.82,2.881e+15,4.876e+30
2010/12/12,07:39:00,c2A,44.00,42.07,5.40,3.89,1.098e+15,1.548e+30
2013/05/02,05:40:27,c1B,64.00,329.51,2.60,1.96,2.075e+15,2.034e+30
2013/04/24,06:25:28,c1B,42.00,180.48,2.70,1.93,3.717e+14,3.450e+29
2013/05/17,22:24:27,c2B,54.00,143.69,7.20,5.04,1.356e+15,2.084e+30
2011/06/05,05:30:00,c1A,70.00,45.59,3.30,2.27,1.916e+15,2.110e+30
2013/01/23,13:35:56,c1B,40.00,303.78,1.90,1.60,3.184e+14,2.338e+29
2013/04/24,09:39:28,c2B,60.00,167.89,14.00,7.64,1.991e+15,3.285e+30
2011/06/05,06:30:00,c1A,72.00,44.16,3.80,2.57,2.788e+15,3.335e+30
2013/01/29,03:20:55,c1B,58.00,341.23,3.10,2.24,8.364e+14,8.899e+29
2013/05/18,00:54:27,c2B,54.00,141.65,14.80,9.49,2.595e+15,4.409e+30
2013/06/07,23:10:00,c1A,60.00,142.38,2.50,1.99,2.335e+15,2.280e+30
2013/06/07,23:15:19,c1B,56.00,148.92,2.80,2.04,2.788e+15,2.744e+30
2011/06/05,04:50:25,c1B,64.00,313.62,3.50,2.68,1.033e+15,1.357e+30
2013/05/18,00:39:00,c2A,50.00,185.96,14.20,7.96,3.857e+15,6.344e+30
2013/04/24,08:24:00,c2A,41.00,222.29,10.50,6.04,2.130e+15,3.337e+30
2013/06/08,00:39:19,c2B,52.00,162.87,8.00,5.28,2.993e+15,4.642e+30
2011/06/05,07:39:00,c2A,90.00,43.09,4.70,3.41,3.147e+15,4.334e+30
