file,lon [arcsec],lat [arcsec]
AIA20130123_120006_0193.fits,[],[]
AIA20130123_122906_0193.fits,[],[]
AIA20130123_124906_0193.fits,[],[]
AIA20130123_130906_0193.fits,[],[]
AIA20130123_132906_0193.fits,[],[]
AIA20130123_134906_0193.fits,[],[]
AIA20130123_140906_0193.fits,"[-582.9231234246399, -564.267423551064, -547.0467693130486, -537.0013841369655, -531.2611628896557, -529.8261074488983, -526.9559964137152, -529.8261074488983, -506.86521351546986, -496.8198184357025, -485.3393640331924, -485.3393640334252, -485.3393640331924, -460.9433885319159]","[500.14897051961105, 472.883116309122, 451.35743241320444, 425.5265256332066, 406.87084999217814, 391.0852541349992, 366.6893261383846, 533.1554952686806, 487.2339862918741, 462.83814032108893, 444.18249934050624, 424.09173488514074, 401.1308513906066, 373.8648908066696]"
AIA20130123_142906_0193.fits,"[-584.3581768700387, -567.137531832559, -552.7869882518426, -542.7416045528371, -535.5663289027289, -535.5663289027289, -532.6962182791904, -516.9106061905622, -502.5600444872398, -492.51464839186525, -478.16407850012183, -478.16407850012183, -473.85890662367456, -427.93704833695665]","[484.36339965194674, 457.097523878483, 431.2666539678339, 409.74089972214995, 388.21511607424145, 373.86456407734255, 349.46863004298143, 513.064863210599, 491.53916896712303, 470.0134310177447, 448.4876985074315, 428.39693419374316, 399.69584756316004, 352.33915874115064]"
AIA20130123_144906_0193.fits,"[-585.7932302586269, -571.442693842575, -568.5725858910009, -565.7024777191691, -565.7024777191691, -562.8323693284765, -565.7024777191691, -489.64453479042277, -473.85890662367456, -460.9433885319159, -432.2422244239133, -407.8462217282504, -386.3203274982516, -374.8398471050896]","[485.7984413040637, 452.7923402073136, 429.831511021211, 392.5201278510681, 366.68914369226457, 340.85816100671934, 294.9363520886311, 494.4093483827305, 467.14342311696964, 452.79294725150925, 418.3517545138032, 386.7806087440065, 349.46918252868926, 306.4174504391683]"
AIA20130123_150906_0193.fits,"[-592.9684963489417, -580.0530163650401, -570.007639894262, -564.267423551064, -562.8323693284765, -561.3973150514066, -565.7024777191691, -486.7744209994562, -456.63821502635255, -425.06693073827773, -412.1513995230198, -384.88526757853106, -369.0996060331818, -369.0996060331818]","[492.9736476489902, 465.70775676237315, 439.8768743051706, 412.61089270067976, 391.085088378042, 363.8190543635566, 303.54669119231744, 501.5846275339452, 462.8383487112115, 432.7023425537277, 404.0012742513194, 363.81976853206993, 312.1577034601814, 257.6254275860313]"
AIA20130123_152906_0193.fits,"[-584.3581768700387, -578.6179627508391, -568.5725858910009, -557.0921518942341, -552.7869882518426, -554.2220428527799, -561.3973150514066, -486.7744209994562, -466.6836192470509, -450.897983067669, -417.89163602376357, -407.8462217282504, -369.0996060331818, -359.0541827867273]","[487.2335020833177, 467.1428178132934, 438.4418297740785, 408.30576966236003, 376.73459179044323, 352.3386451542789, 310.721990691122, 507.3248369551353, 487.23421028853403, 459.96826839692164, 437.00754014576296, 398.2610642036042, 337.98876674183185, 251.88520744583633]"
AIA20130123_154906_0193.fits,"[-580.0530163650401, -570.007639894262, -562.8323693284765, -555.6570974003989, -555.6570974003989, -555.6570974003989, -551.3519335968886, -476.7290212539956, -459.5083307411988, -432.2422244239133, -415.02151785371825, -399.2358650760725, -376.27490728278644, -357.6191221829504]","[485.7984795112814, 459.9676110731414, 434.1367037221926, 406.8707232005466, 379.6046875131083, 353.77369408256254, 317.89731388879056, 505.8898422165287, 474.3187661497947, 451.35802877526515, 434.1374411617506, 392.520868834617, 356.644505704237, 238.96966377676]"
AIA20130123_160906_0193.fits,"[-598.7087081884965, -584.3581768700387, -568.5725858910009, -561.3973150514066, -551.3519335968886, -551.3519335971214, -552.7869882516097, -488.20947791845543, -459.5083307411988, -450.897983067669, -419.3266950480174, -399.2358650760725, -370.5346663550008, -359.0541827867273]","[482.9282520097241, 452.7922607722349, 421.22119077031977, 385.3448776486583, 365.2541574830147, 342.2932681195222, 306.41685601388303, 524.5454518430173, 497.2796207444967, 467.1435396868191, 441.312700368072, 398.26109672924485, 349.4692315973225, 240.4047217113848]"
AIA20130123_162906_0193.fits,"[-600.1437610038556, -581.4880699231289, -565.7024777191691, -562.8323693284765, -548.4818241274916, -547.0467693130486, -552.7869882518426, -493.9497051208745, -472.42384923947975, -453.7680991350208, -430.807165770093, -399.2358650760725, -374.8398471050896, -349.0087578371167]","[480.0581401639697, 451.35722623893037, 422.65626041871025, 388.2149794353515, 369.559336957819, 346.5984548002741, 309.2869691834599, 551.8113870120981, 511.6300762718602, 494.40954504297673, 462.8384734013366, 399.6961536068281, 363.8198011630571, 241.83980272674833]"
AIA20130123_164906_0193.fits,"[-592.9684963491745, -575.7478553545661, -568.5725858910009, -558.5272063340526, -551.3519335968886, -541.3065495269839, -549.9168788888492, -496.8198184357025, -470.98879180965014, -452.3330411231145, -426.5019895583391, -394.93068622611463, -366.22948528220877, -351.87887942255475]","[477.18808590609217, 455.66241869656506, 424.09129768518113, 396.82532832193033, 375.2995437665774, 340.8582562155049, 302.111697274299, 540.3309628614437, 514.500189041948, 497.27965898101183, 461.40343881343136, 399.6961696671078, 362.38477021970505, 241.83979700937147]"
AIA20130123_170906_0193.fits,"[-600.1437610038556, -572.8777477352414, -562.8323693284765, -549.9168788888492, -542.7416045526043, -541.3065495269839, -541.3065495269839, -473.85890662367456, -449.46292496845126, -426.5019895581063, -410.7163402978331, -361.9243038902059, -354.7490008713212, -349.0087578371167]","[471.447832808195, 432.7015924507571, 406.87068482575813, 372.42944049656796, 349.46858567395947, 323.63758098656257, 302.11173063391357, 541.7661556638786, 504.4549394372363, 464.2735480964241, 441.3127374350926, 363.81984184923385, 315.0278605589227, 241.83980272674833]"
