file,lon [arcsec],lat [arcsec]
AIA20130209_050006_0193.fits,[],[]
AIA20130209_052906_0193.fits,[],[]
AIA20130209_054906_0193.fits,[],[]
AIA20130209_060906_0193.fits,[],[]
AIA20130209_062906_0193.fits,"[88.96428019764836, 57.071427115015204, 50.35714185665738, 30.214285498180033, -16.785714248660952, 189.67851796191547, 167.8571058020732, 142.6785486721218, 124.21427069867973, 117.499987290114]","[448.90639234643794, 470.72773619015413, 487.5133633879525, 500.94186686989445, 529.4774066961596, 422.0492325442307, 457.29909931782964, 487.51326128350047, 505.97746478145814, 519.4059607127107]"
AIA20130209_064906_0193.fits,"[95.67856456623369, 73.85713970063509, 57.071427115012376, 46.99999918656155, 33.5714282749853, 191.35708795840947, 182.96423772691045, 167.85710580204548, 159.46425394418407, 142.67854867210295]","[433.7993137485508, 457.29922142704777, 458.97779632155573, 475.763429634891, 507.65611109881075, 422.0492293718166, 452.26338301066335, 469.0490361755879, 489.19179374377194, 511.01311795428416]"
AIA20130209_070906_0193.fits,"[85.60713794175143, 55.39285581120478, 48.678570524830896, 38.60714240629384, 10.071428563424993, 191.35708795841214, 187.9999479402791, 167.8571058020649, 159.464253944206, 137.64283671187184]","[442.1921416313705, 464.0134862352985, 489.19192631288007, 500.94186346943644, 502.62043313988136, 428.76348363620747, 458.9776232455827, 472.4061604363665, 494.22747790719427, 534.5129702264476]"
AIA20130209_072906_0193.fits,"[127.57141230513724, 104.07141974016557, 65.46428351621651, 45.321427842072126, 11.749999987290076, 196.3927977949515, 189.67851796191349, 166.17853547406526, 152.74997207635232, 144.35711928803767]","[408.6208158652897, 430.4421775062667, 452.2635381596384, 489.1919281271458, 505.9775557075434, 428.7634737972344, 460.65618220307937, 477.4418495037048, 519.4059025626705, 534.5129583325358]"
AIA20130209_074906_0193.fits,[],[]
AIA20130209_080906_0193.fits,[],[]
AIA20130209_082906_0193.fits,"[127.57141230513557, 90.64285130801441, 67.1428547713322, 45.3214278420678, 20.142857078826808, 216.5356347399944, 206.46421675972786, 174.57138688949607, 171.21424639111916, 156.10711305163517]","[413.65650918039063, 433.7993185318637, 450.58497367696367, 469.04918016898984, 495.9061849983559, 438.8348103587405, 469.04895651415495, 490.8703260854462, 521.0844262210163, 539.5486148629808]"
AIA20130209_084906_0193.fits,[],[]
AIA20130209_090906_0193.fits,[],[]
AIA20130209_092906_0193.fits,[],[]
AIA20130209_094906_0193.fits,[],[]
AIA20130209_100906_0193.fits,[],[]
AIA20130209_102906_0193.fits,[],[]
AIA20130209_104906_0193.fits,[],[]
AIA20130209_110906_0193.fits,[],[]
