file,lon [arcsec],lat [arcsec]
AIA20101212_010507_0193.fits,[],[]
AIA20101212_012907_0193.fits,[],[]
AIA20101212_014907_0193.fits,[],[]
AIA20101212_020907_0193.fits,[],[]
AIA20101212_022907_0193.fits,[],[]
AIA20101212_024907_0193.fits,[],[]
AIA20101212_030907_0193.fits,[],[]
AIA20101212_032907_0193.fits,[],[]
AIA20101212_034907_0193.fits,[],[]
AIA20101212_040907_0193.fits,[],[]
AIA20101212_042907_0193.fits,[],[]
AIA20101212_044907_0193.fits,[],[]
AIA20101212_050907_0193.fits,"[-456.1928045556415, -426.23165137530304, -391.27695002104156, -361.3157594681252, -291.4062577362638, -381.2898882755544, -351.32869250001386, -313.8771770801395, -278.922410633415, -248.96116942330264]","[848.4434622619445, 845.9469991372938, 843.4505553991287, 840.9540501701999, 828.4708470815025, 900.8753131321096, 895.8820991056026, 893.3856370680165, 883.398952247359, 875.9089355517311]"
AIA20101212_052907_0193.fits,"[-468.6766127715818, -426.23165137530304, -393.77371517266147, -356.3222261928022, -276.42564096464776, -388.78018475486897, -356.3222261928022, -321.36748189874925, -288.9094884835649, -266.4385614870116]","[843.4498956343909, 845.9469991372938, 840.9538079517855, 833.463897582943, 810.9938022909362, 898.3785298017033, 895.8820619012901, 895.8823113048576, 890.88907004549, 880.9022964860189]"
AIA20101212_054907_0193.fits,"[-491.1474588462152, -438.7154674588237, -396.2704802087974, -353.82545939832926, -283.91594972484745, -361.3157594681252, -341.3416238843929, -308.8836400732398, -268.9353314754553, -246.4643988306634]","[843.4496818450876, 838.4567110280307, 853.4374257802848, 828.4704549548051, 828.4708890384018, 910.8623589934633, 908.3657870121842, 905.8692892074149, 898.3793620092976, 878.4056755433759]"
AIA20101212_060907_0193.fits,"[-488.6506987374742, -458.6895664690528, -406.257539184764, -353.82545939832926, -271.4321013849694, -361.3157594681252, -331.3545536682941, -306.38687143381685, -271.4321013849694, -226.49023155216128]","[840.9529805320162, 843.4499874387382, 843.4504369713355, 835.960644581874, 825.9742246650267, 910.8623589934633, 910.8625811470175, 908.366028710961, 898.3793477650171, 878.4057730644106]"
AIA20101212_062907_0193.fits,"[-496.14097863202915, -443.7089929971844, -386.28341937460937, -341.3416238843929, -266.4385614870116, -343.83839119016193, -293.9030269035138, -251.45793994306584, -221.49668905418366, -194.0322008309886]","[838.4561820398067, 840.9533946466014, 835.9604085785132, 825.9738088326336, 810.9938539638459, 915.8559344547114, 913.359554649456, 893.3860075594098, 883.3992505876497, 873.4124578383094]"
AIA20101212_064907_0193.fits,"[-491.1474588462152, -446.2057555720676, -408.75430363276973, -343.83839119016193, -248.96116942330264, -331.3545536682941, -296.39979598484933, -268.9353314754553, -238.97408662294038, -186.54188462602906]","[845.9464070880117, 818.4828211512825, 830.966776016007, 813.4901357774382, 803.5037374189849, 918.3527467909738, 905.869369650278, 890.889186704995, 875.9089857137329, 860.9288418904193]"
