file,lon [arcsec],lat [arcsec]
20130527_160030_14euB.fts,[],[]
20130527_162030_14euB.fts,[],[]
20130527_164030_14euB.fts,[],[]
20130527_170030_14euB.fts,[],[]
20130527_172530_14euB.fts,[],[]
20130527_174530_14euB.fts,[],[]
20130527_181030_14euB.fts,[],[]
20130527_183030_14euB.fts,[],[]
20130527_185530_14euB.fts,"[-60.857813705224544, -28.814185578608885, 25.848476536359357, 52.237347076619116, 69.20162014666695, -13.734830590663478, 12.65404089491915, 78.62621590685491, 123.86427029195433, 161.56264002834743]","[-407.1514800832676, -395.84202042973465, -384.5325453796343, -388.30236150460627, -371.33813604093945, -459.9290063783834, -450.5044554836168, -461.8138838300734, -471.2383811724974, -441.07976807758763]"
20130527_191530_14euB.fts,[],[]
20130527_194530_14euB.fts,"[-45.77845956408419, -21.27450811304152, 27.73339589911058, 54.12226634586981, 80.51113502091141, 133.2888636003778, 178.52690303907744, 8.884202116670243, 59.77702409770714, 89.93573038244348, 116.32459527126673, 154.02296686413973, 191.7213281671312, 267.11800982936444]","[-412.80622348087627, -392.0721971700179, -378.87780615651195, -380.7627094764624, -360.02864869682594, -346.8342066909697, -333.6397542807434, -465.58373668695293, -458.04407810193885, -456.15914383858734, -471.2383912015933, -473.1232437505065, -465.5835359979445, -467.46825487862094]"
20130527_201030_14euB.fts,"[-92.90143889421597, -77.82208632864058, -30.69910493399948, 27.733395898798566, 63.54686254919283, 103.13016324851829, 197.37608131907456, -43.89354025921784, -19.38958873716183, 25.84847653616717, 61.66194332839174, 121.97935156679273, 172.87214895890847, 289.7370013249642]","[-473.1233276676764, -412.8062042664868, -416.5760525848279, -382.64763206478614, -369.4532260901473, -348.7191495539587, -335.5246400705913, -493.85736387266957, -465.58373506170057, -456.1591836178232, -454.2742566871697, -461.81383662939544, -439.19483832172756, -475.0078164670988]"
20130527_203030_14euB.fts,"[-162.64342906116508, -121.17522215214558, -87.24668178986758, -49.54829815169796, -15.619749975623563, 29.61831525681265, 80.51113502066434, 110.6698388002424, 201.1459165896678, -74.05224805069156, -49.54829815169796, -6.195153031731024, 25.84847653622849, 71.08653932295316, 105.01508216309585, 144.59837483190438, 206.80066924270142, 297.2766636353615]","[-473.12322857212854, -444.84964802166974, -437.31004256609276, -412.8062217375292, -399.61184791839713, -384.5325444346295, -365.6833889492319, -350.6040566541352, -331.7548070137522, -525.9007749975138, -505.16681051706394, -473.1233754428719, -461.8139137559898, -461.81388995637866, -469.35349571385524, -465.58362271438614, -463.6985942344514, -473.1228842801019]"
20130527_205530_14euB.fts,"[-187.14736354211345, -128.71489696251228, -92.90143889421597, -51.43321743328124, -13.734830590896308, 57.8921048563855, 71.08653932297639, 144.5983748319337, 225.6498424601456, -128.71489696251228, -79.7070054479409, -36.35386296757497, -0.5403948500752449, 33.38815395756139, 80.51113502062522, 112.55475764267774, 197.3760813190695, 295.39174813146553]","[-469.3533633537461, -442.96472787449517, -437.31003733066257, -418.46095586042645, -399.6118481782745, -386.41744599030073, -367.5683084167105, -341.1794528163796, -327.98493934787484, -584.332772727936, -559.829081097453, -518.3611715744595, -478.77810372913586, -478.77809745837527, -471.2384302416203, -484.4327589617491, -488.2024254029329, -473.12289049159716]"
20130527_211530_14euB.fts,"[-239.92822972871363, -175.84103593230247, -126.83315829001367, -49.551478151464835, -2.4284942445810884, 52.23416707678944, 84.27779320839507, 148.36503172107962, 201.14273659272257, 229.41649666544566, 257.69024811683926, -230.5036450144835, -189.03546136640944, -138.14266998763196, -77.82526632794179, -40.126881626434624, 6.996102724851535, 39.0397319663318, 88.04763133929386, 138.94043932196803, 187.94831257407722, 299.1583990963799]","[-405.2663115497082, -463.6986587912217, -439.19490954063, -397.72692523468913, -395.8420242646425, -376.9928844268017, -356.25881896195386, -337.40962077891584, -329.86989336894976, -329.8698461759385, -337.4094447508012, -576.7929084960927, -556.0590781708167, -569.2535216000617, -546.6347431497211, -518.3611698165503, -488.2026486373447, -471.23845769905233, -473.12333255124423, -476.89308625980533, -478.7779049706525, -471.2379705053907]"
20130527_214030_14euB.fts,"[-232.388562035514, -187.1505435393192, -115.52364582964219, -74.05542804999277, -36.35704296710901, -8.08325242367573, 63.543682549721886, 148.3650317211434, 176.63880504413, 233.18633071368546, 257.6902481169427, -192.80529692512937, -130.60299561033025, -83.48002364602871, -42.01180094620213, -2.428494244348258, 56.004005606141014, 101.2420643177906, 165.3292964520365, 197.37290132222722, 248.26566532335895, 310.4678907622122]","[-418.45752330047605, -454.2709100126224, -442.9615646618447, -422.2275848026777, -403.378487315223, -386.41428092461166, -375.1047855963551, -335.5215268968164, -344.9460585349441, -324.21191907147005, -343.06100314585103, -561.7106029859389, -571.1352597928998, -557.9409916684655, -529.6674320303191, -508.93346108367774, -493.8541768693336, -488.1994101277077, -471.2351347805898, -486.31433741631776, -480.65948477824867, -478.7743813937075]"
20130527_220030_14euB.fts,[],[]
20130527_223030_14euB.fts,"[-211.6544727375731, -168.30136360274628, -109.86888933531009, -72.17050889274105, -40.126881626667455, 16.42069966468665, 82.39287412148886, 116.32141527189657, 152.1348685092463, 221.87682811166022, 267.1148298343025, -151.3370992471464, -106.09905157983303, -51.436397433280945, -26.932446219259873, 25.845296536097273, 63.54368254934341, 97.47222640339756, 163.44437825445965, 208.68240672814966, 253.92041512603737, 304.8131451580684]","[-401.49336998791273, -461.8105836683563, -435.4219289724899, -429.76723112558676, -386.4142739092022, -392.06901802450506, -363.79529429189154, -344.9461301694784, -339.29135010594905, -339.2912460970282, -343.0609832048919, -593.7540668211321, -589.984340835109, -540.9768663832467, -525.8976244272188, -531.5523457649307, -505.16362113967665, -497.6239565231902, -488.1993156666252, -490.0841269111913, -484.4292840373253, -491.96874925836164]"
20130527_225530_14euB.fts,[],[]
20130527_231530_14euB.fts,"[-196.5751323553268, -160.76169082312845, -121.17840215098114, -81.59510455350392, -51.436397433048114, -23.162607485661283, 48.46432851273592, 125.74600899741067, 169.09913276308322, 204.91257172906865, 263.344997279086, -175.84103593206964, -119.2934833969921, -58.97607446950861, -13.73801059066318, 29.61513525701442, 57.8889248567659, 138.94043932202405, 176.6388050440738, 225.6466624640331, 261.4600809352722, 314.2377209058919]","[-393.9537529137533, -442.96149959701603, -427.88227234500397, -429.76722380626427, -397.72374435670105, -380.7595401942455, -382.64444497209183, -350.600861977711, -341.1762420088191, -333.6365346206475, -326.09677518886883, -618.2577425591613, -606.9484491066137, -563.5957307134983, -533.4372555865361, -542.8617839915814, -514.5881642263548, -490.08426654517183, -495.7389218416771, -493.8538995611045, -493.85379831310235, -495.7385283292868]"
20130527_234030_14euB.fts,"[-196.57513235555962, -147.56726243766025, -85.3649427248165, -34.47212362871505, 56.004005605775184, 121.97617156787248, 170.9840508762888, 248.26566532302152, 285.9639898842837, -187.15054353978485, -132.48791423882358, -68.40067054191604, -11.85309120384045, 33.38497395745105, 106.89682106075936, 159.67454177853799, 214.33715896500763, 327.4321247389623]","[-375.10463305147294, -439.19170018973347, -416.572841536191, -382.6444501906797, -378.8746156265354, -352.48577941533534, -335.5214984144827, -316.6722374913541, -337.4062038112181, -608.8332030280789, -622.0276436165475, -580.5598658744467, -539.0919758397935, -550.4014070014058, -503.27866939465474, -495.7389550809781, -497.6237434186606, -497.62338509394687]"
20130528_002530_14euB.fts,[],[]
20130528_004530_14euB.fts,[],[]
20130528_012030_14euB.fts,[],[]
20130528_014030_14euB.fts,[],[]
20130528_021530_14euB.fts,[],[]
20130528_023530_14euB.fts,[],[]
20130528_031030_14euB.fts,[],[]
20130528_033030_14euB.fts,[],[]
20130528_040530_14euB.fts,[],[]
20130528_042530_14euB.fts,[],[]
20130528_050030_14euB.fts,[],[]
20130528_052030_14euB.fts,[],[]
20130528_055530_14euB.fts,[],[]
20130528_061530_14euB.fts,[],[]
