file,lon [arcsec],lat [arcsec]
AIA20130502_040006_0193.fits,[],[]
AIA20130502_042906_0193.fits,[],[]
AIA20130502_044906_0193.fits,"[396.62678387772513, 404.35402747276885, 408.9903730864005, 398.1722326864725, 388.8995391693046, 378.0813947485413, 410.5358215326692, 432.17209486176984, 435.26299028633895, 415.1721665942341]","[225.34494827828476, 228.4358312985929, 233.07216989424114, 236.1630931450046, 242.34491227716208, 206.79958330012374, 206.79952109733267, 219.16307282453317, 243.89025240620762, 253.16299640441298]"
AIA20130502_050906_0193.fits,[],[]
AIA20130502_052906_0193.fits,[],[]
AIA20130502_054906_0193.fits,"[396.62678387772513, 405.8994760563263, 412.0812699328968, 405.8994760563041, 391.99043718487843, 408.9903730864191, 438.35388551544713, 452.2629115902772, 433.71754259840696, 408.9903730864149]","[225.34494827828476, 229.98127758161985, 234.61761241769037, 242.34487379511094, 254.70850148747297, 191.34502350464723, 214.5267109218778, 236.16296547306382, 270.1628846158179, 290.25378327827025]"
AIA20130502_060906_0193.fits,[],[]
AIA20130502_062906_0193.fits,"[390.44498819905226, 399.7176814505562, 408.99037308647655, 402.8085788438696, 391.99043718487184, 416.71761485514315, 442.99022798961454, 459.9901465293076, 447.6265700160899, 422.8994074289556]","[231.5267606875399, 236.16308972262328, 245.43576531479178, 250.07212789604725, 259.34484955210155, 189.79955908454545, 212.9812512983595, 237.70839457163115, 265.52650079387354, 290.2537438089064]"
AIA20130502_064906_0193.fits,[],[]
AIA20130502_070906_0193.fits,[],[]
AIA20130502_072906_0193.fits,[],[]
AIA20130502_074906_0193.fits,[],[]
AIA20130502_080906_0193.fits,[],[]
AIA20130502_082906_0193.fits,[],[]
AIA20130502_084906_0193.fits,[],[]
AIA20130502_090906_0193.fits,[],[]
AIA20130502_092906_0193.fits,[],[]
AIA20130502_094906_0193.fits,[],[]
AIA20130502_100906_0193.fits,[],[]
AIA20130502_102906_0193.fits,[],[]
AIA20130502_104906_0193.fits,[],[]
