file,lon [arcsec],lat [arcsec]
AIA20110605_030907_0193.fits,[],[]
AIA20110605_032907_0193.fits,[],[]
AIA20110605_034907_0193.fits,[],[]
AIA20110605_040907_0193.fits,[],[]
AIA20110605_042907_0193.fits,[],[]
AIA20110605_044907_0193.fits,[],[]
AIA20110605_050907_0193.fits,[],[]
AIA20110605_052907_0193.fits,[],[]
AIA20110605_054907_0193.fits,[],[]
AIA20110605_060907_0193.fits,[],[]
AIA20110605_062907_0193.fits,"[-276.506977224024, -269.71478134044446, -266.3186831783969, -228.96159427077512, -223.86744456505403, -223.86744456505403]","[427.2899139384577, 442.572319079826, 459.55275266208497, 444.2704678362106, 459.55286504629294, 471.4391611403075]"
AIA20110605_064907_0193.fits,[],[]
AIA20110605_070907_0193.fits,"[-279.9030749418307, -274.80892830877565, -273.1108793562744, -228.96159427077512, -222.16939460206777, -220.47134460904635]","[432.3840334808601, 442.57230465227303, 457.854690812467, 444.2704678362106, 456.15678394427175, 469.74112736155985]"
AIA20110605_072907_0193.fits,[],[]
AIA20110605_074907_0193.fits,"[-273.1108793562744, -271.41283036675304, -278.20502610178664, -223.86744456505403, -222.16939460206777, -223.86744456505403]","[430.68600954059696, 454.4586114412937, 495.2115850832603, 445.96852292044514, 478.2313331928781, 508.79607097013115]"
AIA20110605_080907_0193.fits,[],[]
AIA20110605_082907_0193.fits,"[-291.7894157473929, -286.6952699206304, -279.9030749418307, -218.7732945859898, -213.67914434033446, -213.67914434033446]","[445.9683393537465, 478.23114865203416, 508.79590217543586, 444.27049165327594, 476.53331204919493, 515.5882598908753]"
AIA20110605_084907_0193.fits,[],[]
AIA20110605_090907_0193.fits,[],[]
AIA20110605_092907_0193.fits,[],[]
AIA20110605_094907_0193.fits,[],[]
AIA20110605_100907_0193.fits,[],[]
AIA20110605_102907_0193.fits,[],[]
AIA20110605_104907_0193.fits,[],[]
AIA20110605_110907_0193.fits,[],[]
AIA20110605_112907_0193.fits,[],[]
AIA20110605_114907_0193.fits,[],[]
AIA20110605_120907_0193.fits,[],[]
AIA20110605_122907_0193.fits,[],[]
AIA20110605_124907_0193.fits,[],[]
AIA20110605_130907_0193.fits,[],[]
AIA20110605_132907_0193.fits,[],[]
AIA20110605_134907_0193.fits,[],[]
AIA20110605_140907_0193.fits,[],[]
AIA20110605_142907_0193.fits,[],[]
AIA20110605_144907_0193.fits,[],[]
AIA20110605_150907_0193.fits,[],[]
