file,lon [arcsec],lat [arcsec]
20130517_180030_14euB.fts,[],[]
20130517_182030_14euB.fts,[],[]
20130517_184030_14euB.fts,[],[]
20130517_190030_14euB.fts,[],[]
20130517_192530_14euB.fts,[],[]
20130517_194530_14euB.fts,[],[]
20130517_201030_14euB.fts,"[-504.897513872711, -491.4755139721092, -494.8310143419076, -447.8539861384779, -437.7874738841783, -436.1097216377966]","[-480.8812628460503, -495.9810488630415, -519.4694564931183, -447.3266235291821, -464.1041484568415, -482.5593755352248]"
20130517_203030_14euB.fts,"[-498.18651445023715, -499.86426440533245, -499.86426440533245, -449.5317379750777, -439.46522607305087, -434.4319693339057]","[-470.8116452014573, -487.5890938605416, -512.7552685798544, -449.00118350688535, -457.3899700685957, -475.8452158481382]"
20130517_205530_14euB.fts,"[-511.6116922076326, -509.93394272006117, -509.93394272006117, -436.1129016238265, -422.69088159431703, -415.9798702301923]","[-480.87804430195433, -506.0442296442226, -529.5326466788537, -455.7122380409264, -480.8785138121461, -517.7889692077656]"
20130517_211530_14euB.fts,"[-513.2894416276831, -513.2894416276831, -511.61169220786536, -422.69088159454986, -415.97987023042515, -410.94661112851463]","[-482.5557800136744, -506.0442092248375, -521.1439173569973, -455.7122997742542, -479.20079834325094, -519.4667403733888]"
20130517_214530_14euB.fts,"[-509.93394272006117, -509.93394272006117, -511.6116922076326, -426.04638694180176, -409.2688579852693, -405.9133515369613]","[-477.52256280210935, -506.04422964412635, -527.8548924210083, -443.96804700875555, -474.16758699680884, -511.07803519165515]"
20130517_221030_14euB.fts,"[-508.2561931654345, -508.2561931654345, -509.93394272006117, -429.4018920636736, -415.9798702301923, -402.5578448739834]","[-475.844826667512, -497.6555160533167, -524.4994155924738, -420.47954923815394, -457.3900780615821, -485.91184980455057]"
20130517_223030_14euB.fts,"[-506.57844354328694, -506.57844354328694, -506.57844354328694, -424.3686342963483, -414.3021172513254, -399.2023379979655]","[-472.48616451651395, -492.61911089590836, -522.8185127453527, -420.47639049298385, -455.70915739985367, -480.87544293529]"
