file,lon [arcsec],lat [arcsec]
20101214_181030_14euA.fts,"[-551.728138505714, -577.1963555025868, -584.2708571339026, -577.1963555028196, -568.7069517541677, -548.8983355646487, -519.1853924107272, -451.2700148448348, -472.4935815371573, -475.3233896836173, -465.41906039603055, -451.2700148448348, -442.78058546734974, -431.4613439682871]","[330.9800689807784, 342.2991750093422, 363.5226677930366, 390.4058271135551, 410.2144834196959, 438.5126009677318, 486.6193624022196, 359.27854475715645, 360.69336549647045, 390.406319068559, 408.800095992911, 424.3640845289507, 434.26843744769906, 444.1728021669128]"
20101214_183030_14euA.fts,"[-546.0685324168298, -582.8559569169302, -574.366554469103, -561.632447157288, -560.217546079075, -540.4089255055878, -516.3555871576536, -452.68491959315725, -471.0786773974541, -472.4935815371573, -462.58925163187087, -452.68491959315725, -441.3656804242637, -427.2166277326178]","[330.9800931481609, 356.44816693112404, 374.84192900663203, 388.9910071898759, 434.26783629853406, 455.4914491077733, 480.9597818611995, 353.6189237202371, 369.18279169269886, 397.48084471787524, 408.80010860940513, 418.7044692494953, 430.0237375555155, 445.5877231182267]"
20101214_185030_14euA.fts,"[-546.0685324168298, -585.6857572956942, -580.0261563190725, -558.8026449477766, -536.16421978781, -529.0897092504892, -516.3555871576536, -447.0253003453836, -471.0786773974541, -471.0786773972213, -465.41906039603055, -459.7594426937867, -449.8551100541372, -434.291154589504]","[321.0757718083852, 350.78854636078455, 369.18229484399933, 435.68274443667633, 441.3424728264328, 463.980913059666, 483.78958060192934, 359.27856085688467, 366.3529849845989, 391.82124026487213, 403.1404861565088, 411.6299260110089, 421.5342864316708, 431.4386710984979]"
20101214_191030_14euA.fts,"[-546.0685324168298, -574.366554469103, -568.7069517541677, -560.217546079075, -541.8238273099996, -531.9195136155467, -509.28107317676773, -442.7805854671169, -462.58925163187087, -464.0041560358368, -455.51472896221094, -442.7805854671169, -437.1209650468081, -432.8762492991518]","[328.1502872048333, 352.20350244112547, 386.161168296445, 444.17213565162376, 451.24674143628823, 471.05539452934386, 492.27901770515825, 359.2785768044452, 369.1828260826765, 396.06597912948155, 410.2150423289999, 424.3641223817584, 431.4386585953824, 434.2684817102578]"
20101214_193030_14euA.fts,[],[]
20101214_195030_14euA.fts,[],[]
20101214_201030_14euA.fts,[],[]
20101214_203030_14euA.fts,[],[]
20101214_205030_14euA.fts,[],[]
20101214_211030_14euA.fts,[],[]
20101214_213030_14euA.fts,[],[]
20101214_215030_14euA.fts,[],[]
20101214_221030_14euA.fts,[],[]
20101214_223030_14euA.fts,[],[]
20101214_225030_14euA.fts,[],[]
