file,lon [arcsec],lat [arcsec]
20101214_145030_14euA.fts,"[-537.5791217442602, -565.8771500750445, -571.5367532190867, -547.4834340163507, -537.5791217442602, -522.015197468223, -516.3555871576536, -473.9084856328555, -503.6214611285832, -516.3555871576536, -512.1108789138962, -510.695976069197, -492.3022347660735, -480.98300543799996]","[332.39820753908646, 360.69612998621443, 386.164329177753, 398.8985642317311, 427.19663582614567, 448.42022815030253, 478.13315846041485, 340.8878833516964, 338.05796000643414, 362.1112599345249, 396.06893608445847, 420.1222711281345, 428.61177135419007, 444.17574182167516]"
20101214_151030_14euA.fts,"[-516.3555871576536, -543.2387290634215, -572.9516538709868, -551.728138505714, -543.2387290634215, -526.2599046858959, -524.8450023294427, -478.1531976507977, -503.6214611285832, -507.86617023614235, -497.9618483220693, -489.472427709261, -483.81281304429285, -473.9084856328555]","[321.07906645512384, 333.8130865884395, 366.35570258860355, 394.65383862418815, 430.0264061668099, 441.3457029276215, 465.39901275568417, 346.547482407331, 355.03679996571367, 383.3348364166754, 401.72861111541124, 414.46276886545286, 422.95220661212517, 431.441664190762]"
20101214_153030_14euA.fts,"[-523.4300999233965, -557.3877437640913, -564.462249155622, -544.6536307656206, -548.8983355646487, -541.8238273099996, -524.8450023294427, -479.5681015669834, -496.54694500309415, -505.03636421193363, -500.79165481962264, -489.472427709261, -483.81281304429285, -468.2488689848687]","[322.4939422409096, 350.79185523887105, 379.08985877470826, 413.0475899974754, 428.61147452658196, 448.42011709617145, 466.8139124922171, 338.0580539623161, 332.3983732979421, 349.3771813093574, 393.2391850673899, 411.6329650965322, 418.7075013314498, 428.61188773449845]"
20101214_155030_14euA.fts,"[-551.728138505714, -560.217546079075, -568.7069517541677, -546.0685324168298, -543.2387290634215, -533.334415723104, -516.3555871576536, -472.4935815371573, -496.54694500309415, -503.6214611285832, -502.2065579977352, -495.1320416370873, -485.22771677910356, -472.4935815371573]","[340.88756359914004, 362.11105898211326, 387.5792450079497, 417.29228506046087, 437.1009080839558, 461.15426459785306, 476.71825893203857, 333.8133684911876, 343.7176024285364, 363.5262181554583, 384.7497646136198, 403.1435264628069, 417.2925927682411, 430.02676932057415]"
20101214_161030_14euA.fts,"[-551.728138505714, -575.7814550129697, -557.3877437640913, -547.4834340163507, -531.9195136155467, -520.6002949639224, -514.9406844582409, -473.9084856328555, -490.887331260601, -496.54694500309415, -495.1320416370873, -486.6426204682793, -475.3233896836173, -462.58925163187087]","[362.11109915400385, 387.57920812826484, 407.38791875707955, 435.6859840764691, 454.0797734018352, 471.0586360042782, 475.303367509648, 336.64317137864964, 347.9623356756145, 355.0368294888966, 380.50508872684077, 407.3882723776312, 418.7075413986217, 425.78211044174634]"
20101214_163030_14euA.fts,"[-551.728138505714, -570.1218525136355, -572.9516538709868, -558.8026449477766, -547.4834340163507, -547.4834340163507, -519.1853924107272, -464.0041560358368, -492.3022347658407, -492.3022347660735, -486.6426204682793, -482.3979092638474, -471.0786773974541, -462.58925163187087]","[353.62168582699087, 374.84512593272103, 394.65372791536845, 403.14320853261586, 418.70717821984067, 438.51578448474544, 473.888443420901, 350.7922484561389, 360.69646001399605, 376.26039297019037, 396.069054483445, 408.803194204982, 418.70756116623284, 427.19701237648985]"
20101214_165030_14euA.fts,"[-564.462249155622, -572.9516538709868, -572.9516538709868, -560.217546079075, -550.3132370610256, -540.408925505355, -524.8450023294427, -469.6637732132803, -489.472427709261, -489.472427709261, -489.472427709261, -485.22771677910356, -475.3233896836173, -455.51472896221094]","[364.94084236448975, 379.0898157559741, 397.4835296485153, 413.0475065236877, 432.85616770107885, 445.59032508392005, 469.643711833408, 350.792226671524, 356.4517619439728, 373.4305994842923, 391.82433443497064, 400.31376794625817, 410.21812896460085, 430.0268489502457]"
20101214_171030_14euA.fts,"[-553.143039898714, -571.5367532193195, -568.7069517541677, -554.5579412393272, -547.4834340163507, -531.9195136155467, -523.4300999236293, -465.41906039603055, -482.3979092638474, -486.6426204682793, -488.0575241118204, -479.5681015669834, -473.9084856328555, -451.2700148448348]","[369.18242701475106, 386.1611536530363, 404.5548808407731, 422.9486659487506, 441.34240920560455, 455.4914978387093, 472.47034371234304, 355.03377889859223, 357.86351864672787, 370.59763007433173, 386.16155507998343, 396.06591077265233, 407.38515541260364, 431.4385948616425]"
20101214_173030_14euA.fts,"[-554.5579412393272, -578.6112559379544, -570.1218525136355, -557.3877437640913, -541.8238273099996, -529.0897092504892, -524.8450023294427, -462.58925163187087, -479.5681015669834, -483.81281304429285, -480.98300543799996, -473.90848563262256, -461.1743471843656, -447.0253003453836]","[353.6184972895835, 372.01210477200743, 397.48036923453026, 428.6082516964908, 447.00204157953743, 462.5660133099348, 478.12993327132455, 357.86359737270817, 357.8635300953535, 372.0125450999141, 390.4062942360824, 404.55535075944863, 417.2895288789463, 432.85351620356687]"
20101214_175030_14euA.fts,"[-550.3132370610256, -581.4410566452425, -568.7069517541677, -558.8026449477766, -543.2387290634215, -534.7493177803699, -527.674806992989, -456.9296335824765, -476.7382936896756, -480.98300543799996, -479.5681015669834, -466.83396471221926, -458.34453815966845, -441.3656804242637]","[349.3738095871079, 372.0120904200816, 393.2356738639784, 424.36354283915887, 437.0977325611454, 448.4169817107222, 469.64051987322006, 357.86361925962683, 362.10825183613036, 373.4274601114812, 391.82120310238605, 408.80008965579293, 418.70444387797806, 434.2684438322037]"
