file,lon [arcsec],lat [arcsec]
20110317_100030_14euB.fts,[],[]
20110317_102300_14euB.fts,[],[]
20110317_104300_14euB.fts,[],[]
20110317_110300_14euB.fts,[],[]
20110317_112300_14euB.fts,[],[]
20110317_114300_14euB.fts,[],[]
20110317_120300_14euB.fts,[],[]
20110317_122300_14euB.fts,"[-788.8040779405273, -788.8040779405273, -788.8040779405273, -785.0012111314572, -783.0997775266878, -760.2825639802031, -752.6768219689839, -746.9725141159724, -737.4653318265919, -727.9581464035437]","[-293.252528601918, -323.6756153024114, -354.0986879198807, -371.2116856913806, -399.73330966780196, -279.9425694379911, -300.85849842978763, -308.46430652365797, -321.77446909424935, -338.88752101178625]"
20110317_124300_14euB.fts,"[-796.4129898997489, -785.0043910855893, -783.1029574808199, -794.5115571005736, -794.5115571005736, -743.1728215375915, -733.6656379909255, -726.0598889070097, -722.2570136236027, -720.3555757973809]","[-310.36547253055204, -333.1828504859468, -354.0987252133486, -371.2116201580947, -403.5361046191277, -297.0556592114294, -314.1687121058018, -327.478865983221, -338.887553940174, -342.69045345000654]"
20110317_130300_14euB.fts,"[-802.117287483532, -788.8072578937281, -792.6101241661236, -796.4129898995161, -796.4129898992833, -739.3699484954122, -733.6656379906926, -727.9613263637293, -724.1584513266571, -716.552699778229]","[-306.5625543736565, -331.28138480978134, -348.39433829426525, -367.40872534262155, -399.7332108819516, -289.4498988174731, -306.5629331250225, -317.9716324343029, -327.47887659625775, -342.6904754575926]"
20110317_132300_14euB.fts,"[-804.0187197397463, -796.4129898997489, -798.3144225634169, -796.4129898997489, -798.3144225634169, -748.8771301524248, -737.4685117858462, -726.0598889072426, -716.552699778229, -708.9469462812413]","[-300.8582158385372, -327.47845375595335, -354.09862510679073, -375.0144883279306, -407.3389548743987, -281.8440710872358, -295.1542436901929, -306.5629731240628, -317.97169401742013, -331.28185049172]"
20110317_134300_14euB.fts,"[-794.5115571003407, -796.4129898997489, -800.2158550915774, -800.2158550918102, -798.3144225634169, -735.5670749507844, -724.1584513268899, -714.6512615857646, -710.8483848371543, -705.1440688082948]","[-297.0522036467363, -321.77094720152473, -344.5882259167183, -382.61704302615664, -416.84297114822436, -283.74240197203454, -302.7569126612245, -314.1656338108536, -327.47577013131746, -335.08158146782046]"
20110317_140300_14euB.fts,"[-800.2158550918102, -800.2158550915774, -800.2158550915774, -804.0187197397463, -798.3144225634169, -729.8627636970486, -729.8627636970486, -726.0598889070097, -718.4541378486902, -708.9469462812413]","[-300.8550574397858, -327.4752504199801, -355.99687362696255, -390.2227754316084, -416.84297114822004, -274.2352013668261, -289.4467663588964, -302.7569028498347, -317.96850384783727, -335.08156029099666]"
20110317_142300_14euB.fts,"[-796.4129898995161, -800.2158550915774, -800.2158550915774, -796.4129898995161, -804.0187197397463, -731.7642009060364, -727.9613263639621, -718.4541378486902, -710.8483848369215, -699.4397517009638]","[-287.544977654414, -312.2637128531869, -346.4896673501927, -375.0113083622165, -409.23717033868076, -272.3337466349033, -291.34822125620275, -310.362723316527, -319.86998971238324, -335.08161301958285]"
20110317_144300_14euB.fts,"[-798.3144225634169, -805.9201518588234, -798.3144225634169, -807.8215838412289, -802.1172874839976, -729.8627636970486, -726.0598889070097, -722.2570136236027, -710.8483848371543, -703.2426298921928]","[-285.6435242406404, -335.08098179879215, -371.2084137666932, -411.1385798348515, -439.6602033676816, -264.7279717213594, -283.74244830950977, -298.9540316938701, -312.26420842327536, -329.37725673027194]"
20110317_150300_14euB.fts,"[-805.9201518588234, -805.9201518588234, -798.3144225634169, -811.6244473929983, -794.5115571003407, -727.9613263637293, -726.0598889070097, -710.8483848369215, -707.0455076047219, -707.0455076047219]","[-295.14751728981446, -335.07780183183877, -367.40235231722164, -409.2339312766781, -441.55852444803736, -266.62624645309637, -297.04938703986915, -314.1624738524935, -325.5711657673704, -344.5856146506922]"
20110317_152300_14euB.fts,"[-805.9201518588234, -811.6244473932311, -800.2158550915774, -802.1172874837648, -800.2158550915774, -726.0598889070097, -722.2570136233699, -712.7498232719954, -703.24262989196, -693.735433523776]","[-295.1475172897658, -338.8806480637808, -367.4023391932316, -395.92392886090363, -435.8541627387093, -272.3305932754726, -295.14796076404485, -310.35957312077886, -317.9654046875975, -335.0784643414598]"
20110317_154300_14euB.fts,"[-811.6244473932311, -811.6244473932311, -802.1172874837648, -804.0187197397463, -800.2158550915774, -727.9613263639621, -720.3555757973809, -708.9469462810084, -703.24262989196, -699.4397517009638]","[-321.76767473538604, -348.387853467416, -376.9095285938338, -403.52967261848204, -447.26279106961744, -283.73925911621967, -302.75375223309277, -319.8668198872388, -335.0784120403887, -344.58565797121986]"
20110317_160300_14euB.fts,"[-786.9058245562483, -815.4273103936575, -800.2158550915774, -804.0187197397463, -804.0187197397463, -731.7642009060364, -718.4541378486902, -710.8483848369215, -699.4397517009638, -693.735433523776]","[-298.9505089388748, -335.07774113104057, -365.50089842525773, -395.9239146508068, -452.9670717371044, -266.6262290586963, -285.64075089313025, -304.6552463112571, -321.76831576839646, -346.4871351425082]"
20110317_162300_14euB.fts,"[-815.4273103938904, -815.4273103938904, -798.3144225636497, -804.0187197399791, -802.1172874839976, -720.3555757973809, -714.6512615859974, -707.0455076049548, -703.2426298921928, -693.7354335240088]","[-295.1442838533413, -338.8774434543507, -380.7092564353936, -407.32937122825865, -460.56965754038725, -266.62310099393653, -291.3419270516791, -312.2578682628185, -327.4694515762541, -354.08973453002096]"
20110317_164300_14euB.fts,"[-805.9233318103943, -813.5290589132346, -807.8247637923341, -807.8247637923341, -802.1204674358014, -716.5558797400445, -710.8515647994354, -705.1472487712745, -693.7386134879198, -688.0342942501884]","[-298.94722254481707, -344.58177898001924, -382.6106280788499, -416.83653639356146, -464.3725317981356, -262.8202251560927, -281.83471501772175, -297.04631155152856, -316.0608284935743, -336.9767608428806]"
20110317_170300_14euB.fts,[],[]
