file,lon [arcsec],lat [arcsec]
AIA20130129_000006_0193.fits,[],[]
AIA20130129_002906_0193.fits,[],[]
AIA20130129_004906_0193.fits,[],[]
AIA20130129_010906_0193.fits,[],[]
AIA20130129_012906_0193.fits,[],[]
AIA20130129_014906_0193.fits,[],[]
AIA20130129_020906_0193.fits,"[-150.668804371031, -159.46750069549307, -168.26619643974118, -36.28571391152218, -25.727272593649104, -39.805194311076775]","[619.3901807887784, 626.429055664237, 636.9873734448762, 698.5778376648551, 737.2916593221526, 758.4082564418906]"
AIA20130129_022906_0193.fits,"[-143.62984691513702, -152.42854368081316, -161.22723989165388, -27.487012824276462, -22.20779212191701, -53.8831156573724]","[624.6693673560562, 628.1887953294414, 635.2276678210867, 707.3764412912767, 756.6485496539935, 765.4471094374361]"
AIA20130129_024906_0193.fits,"[-148.90906503936276, -159.46750069549307, -173.54541359422728, -55.642855793237686, -46.84415503893979, -39.805194311076775]","[624.6693560184569, 628.1887791215703, 636.9873599364657, 719.6944557902619, 742.5707987503301, 772.4859843794629]"
AIA20130129_030906_0193.fits,[],[]
AIA20130129_032906_0193.fits,[],[]
AIA20130129_034906_0193.fits,[],[]
AIA20130129_040906_0193.fits,[],[]
AIA20130129_042906_0193.fits,[],[]
AIA20130129_044906_0193.fits,[],[]
AIA20130129_050906_0193.fits,[],[]
AIA20130129_052906_0193.fits,[],[]
AIA20130129_054906_0193.fits,[],[]
AIA20130129_060906_0193.fits,[],[]
AIA20130129_062906_0193.fits,[],[]
AIA20130129_064906_0193.fits,[],[]
