,ID,T_REC,USFLUX,ERRVF,MEANJZH,ERRMIH,TOTUSJH,ERRTUI,ABSNJZH,ERRTAI,MEANPOT,ERRMPOT,TOTPOT,ERRTPOT
27,1.200e+01,2013.06.08_02:24:00.000_TAI,6.212e+21,4.787e+18,1.857e-03,5.707e-04,3.020e+02,5.007e+00,1.629e+01,5.007e+00,5.570e+03,1.183e+01,6.491e+22,1.378e+20
28,1.200e+01,2013.06.08_02:36:00.000_TAI,5.775e+21,4.613e+18,1.297e-03,6.013e-04,3.005e+02,4.855e+00,1.047e+01,4.855e+00,5.455e+03,1.224e+01,5.850e+22,1.313e+20
29,1.200e+01,2013.06.08_02:48:00.000_TAI,5.122e+21,4.627e+18,-4.607e-04,6.290e-04,2.538e+02,4.631e+00,3.392e+00,4.631e+00,5.414e+03,1.275e+01,5.294e+22,1.247e+20
30,1.200e+01,2013.06.08_03:00:00.000_TAI,4.615e+21,4.514e+18,5.989e-03,6.702e-04,2.300e+02,4.443e+00,3.970e+01,4.443e+00,5.336e+03,1.425e+01,4.699e+22,1.255e+20
31,1.200e+01,2013.06.08_03:12:00.000_TAI,4.333e+21,4.678e+18,-2.251e-03,6.393e-04,1.911e+02,4.271e+00,1.504e+01,4.271e+00,4.743e+03,1.423e+01,4.209e+22,1.262e+20
32,1.200e+01,2013.06.08_03:24:00.000_TAI,3.939e+21,4.536e+18,6.677e-04,6.676e-04,1.683e+02,4.145e+00,4.145e+00,4.145e+00,4.573e+03,1.349e+01,3.771e+22,1.112e+20
33,1.200e+01,2013.06.08_03:36:00.000_TAI,3.552e+21,4.415e+18,-1.400e-02,6.438e-04,1.729e+02,3.808e+00,8.282e+01,3.808e+00,4.263e+03,1.312e+01,3.349e+22,1.031e+20
34,1.200e+01,2013.06.08_03:48:00.000_TAI,3.160e+21,4.339e+18,-1.394e-02,6.901e-04,1.585e+02,3.707e+00,7.491e+01,3.707e+00,4.139e+03,1.442e+01,2.954e+22,1.029e+20
35,1.200e+01,2013.06.08_04:00:00.000_TAI,3.041e+21,4.513e+18,-4.008e-03,6.931e-04,1.109e+02,3.648e+00,2.110e+01,3.648e+00,2.958e+03,1.458e+01,2.068e+22,1.019e+20
36,1.200e+01,2013.06.08_04:12:00.000_TAI,2.514e+21,4.102e+18,-2.551e-03,7.112e-04,1.138e+02,3.286e+00,1.178e+01,3.286e+00,2.925e+03,1.546e+01,1.794e+22,9.487e+19
37,1.200e+01,2013.06.08_04:24:00.000_TAI,2.275e+21,4.114e+18,-1.534e-03,7.670e-04,7.376e+01,3.158e+00,6.317e+00,3.158e+00,2.411e+03,1.730e+01,1.319e+22,9.460e+19
