ID,Date,NOAA_AR,Comments_1,Links,Solar_region,Comments_2,FIL_activation_time,Flare_presence,fil_lon1,fil_lat1,fil_lon2,fil_lat2,fil_length,fil_length.Mm,gcs_lat,gcs_lon,gcs_radial_vel_at2,gcs_radial_vel_at6,gcs_mean_acc1to6,gcs_awd,gcs_awd_err,gcs_awl,gcs_awl_err,gcs_awl_awd_ratio,gcs_aspect_ratio,gcs_axial_vel,gcs_lat_vel,ar_source,ar_unsigned_flux,ar_mean_current_helicity,ar_total_unsigned_current_helicity,ar_abs_net_current_helicity,ar_excess_mag_energy_density,ar_free_energy_density,ar_time_tilt,ar_tilt,pil_length,EUV loops comments,Instrument,ROI box [arcsec],EUV loops data start time,EUV loops data end time,Favorite link Hebe
11,27/05/2013,---, Se ve re bien que sale del Rear disk en stereo A & B,"https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130527_1818&etime=20130527_2330&img1=lasc2rdf&title=20130527.192405.p146g;V=528km/s

https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130527_0000&etime=20130528_0000","Cuadrante sureste, limbo solar ",,18:16,Backsided,32.7,-29,73.8,-27.3,"437,236.44",437.24,-49,-134,249,587,50,47,12,81,22,1.72,0.3987490689,358,511,Backsided,,,,,,,,--,,"Backsided para AIA, limbo para A, se ve en EUVI-B, South central meridian",EUVI-B,-450/-100/480/-750,2013/05/27 16:00:00,2013/05/28 8:00:00,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=sta_e195&img2=stb_e195&stime=20130527_1600&etime=20130528_0800
12,08/06/2013,11762,"Se ve que sale de la AR anotada, muy en el limbo","https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130607_2022&etime=20130608_0048&img1=lasc2rdf&title=20130607.220005.p096g;V=195km/s

https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130607_0000&etime=20130608_0000","Cuadrante sureste, limbo solar ",Plots Lucho,"22:11 Flare start 22:11, flare peak 22:49",M59,122,-34,128,-26,"115,769.89",115.77,-61,77,687,692,1,53,14,70,18,1.32,0.4461978131,506,619,S,1.21E+22,3.82E-04,4.92E+02,3.00E+00,4.90E+03,1.18E+23,2013/06/07 22:11:00,81,,"Backsided para B, limbo para A y AIA, se ve mejor en EUVI-A SE. Pero no veo post-eruptive stuff",EUVI-A,SE,2013/06/07 22:00:00,2013/06/08 12:00:00,
13,3/3/2011,11165,"Es una CME tipo ""stealth"", no se ve el momento en que se origina, parece venir de un FR que estaba suspendido alto en la corona, a juzgar por lo que muestran los EUVIs y COR1s","https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20110303_0523&etime=20110303_1247&img1=lasc2rdf&title=20110303.061205.p204g;V=263km/s

https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195&img2=sta_e195&stime=20110303_0000&etime=20110303_0400

https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?step=2&img1=sdo_a193&img2=sdo_a304&stime=20110302_2123&etime=20110303_0447",No sabemos pero meridiano central al sur,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,"Limb for A and B, south central meridian for AIA",AIA,S,"No sirve, stealth ","No sirve, stealth ",
14,27/4/2011,---,,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20110427_0641&etime=20110427_1131&img1=lasc2rdf&title=20110427.074806.p329g;V=634km/s https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20110427_0000&etime=20110428_0000  https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20110427_0000&etime=20110428_0000 https://sdo.gsfc.nasa.gov/data/aiahmi/browse/movie.php,backsided,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,"Backsided for AIA, limb for B, seen in EUVI-A",EUVI-A,NW,2011/04/27 5:00:00,2011/04/27 16:00:00,
15,23/5/2011,---,"Sale de un filamento cercano al ecuador, no hay AR",https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20110523_0000&etime=20110523_0959&img1=lasc2rdf&title=20130530.102407.p050g;V=404km/s https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20110523_0000&etime=20110523_0859 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20110523_0000&etime=20110523_1859,Levemente al noreste del meridiano central.,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,"Limb for A and B, NE for AIA",AIA,NE,2011/05/23 0:00:00,2011/05/23 10:00:00,
16,16/1/2013,---,Filamento debajo de NOAA 11650,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130116_0621&etime=20130116_1542&img1=lasc2rdf&title=20130116.071205.p201g;V=860km/s https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2rd&img2=sta_cor2rd&stime=20130116_0600&etime=20130116_1600 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195&img2=sta_e195&stime=20130116_0400&etime=20130116_1200,Backsided. Frontsided para Stereo A.,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,"Limb for AIA and B, south central to E in EUVI-A",EUVI-A,S,2013/01/16 5:00:00,2013/01/16 15:00:00,
17,23/1/2013,---,No hacemos .pro porque el evento es muy tenue y se superponen CME,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130123_2021&etime=20130124_0442&img1=lasc2rdf&title=20130116.071205.p201g;V=860km/s https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2rd&img2=sta_cor2rd&stime=20130123_2100&etime=20130124_0600 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195&img2=sta_e195&stime=20130123_2100&etime=20130124_0600,Backsided. Frontsided para Stereo B.,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,"Almost limb for EUVI-B, backsided for A",AIA,NE,2013/01/23 18:00:00,2013/01/24 8:00:00,
18,27/1/2013,---,"Filamento al noroeste, sobre el limbo","https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130127_0631&etime=20130127_0936&img1=lasc2rdf&title=20130127.080006.p042g;V=839km/s https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130127_0000&etime=20130128_0000 
https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195&img2=sta_e195&stime=20130127_0000&etime=20130128_0000 
https://sdo.gsfc.nasa.gov/data/dailymov/movie.php?q=20130127_1024_0304","Creemos por Stereo A que es Cuadrante Noroeste, pero no se visualiza muy bien",,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,"Backsided for AIA, limb for EUVI-B, seen in EUVI-A to the NNW",EUVI-A,N,2013/01/27 5:00:00,2013/01/27 14:00:00,
19,6/2/2013,11667,,"https://sdo.gsfc.nasa.gov/data/dailymov/movie.php?q=20130206_1024_0304 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130205_2100&etime=20130206_0250&img1=lasc2rdf&title=20130206.002405.p031g;V=1867km/s                         
https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130206_0000&etime=20130207_0000 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130205_2200&etime=20130207_0000",Cuadrante Noreste,No confundir con otra CME que comienza a las 4:00:00. En un EUVI A no alcanza a apreaciarse con claridad la CME.,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,19/2/2013,---,filamento al norte de la AR 11675,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130219_0000&etime=20130220_0000 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130219_0000&etime=20130220_0000 https://sdo.gsfc.nasa.gov/data/dailymov/movie.php?q=20130219_1024_0304,Cuadrante Noreste - Limbo Solar,No se aprecia desde Stereo EUVI A,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
