ID,Date,NOAA_AR,Comments_1,Links,Solar_region,Comments_2,FIL_activation_time,Flare_presence,fil_lon1,fil_lat1,fil_lon2,fil_lat2,fil_length,fil_length.Mm,gcs_lat,gcs_lon,gcs_radial_vel_at2,gcs_radial_vel_at6,gcs_mean_acc1to6,gcs_awd,gcs_awd_err,gcs_awl,gcs_awl_err,gcs_awl_awd_ratio,gcs_aspect_ratio,gcs_axial_vel,gcs_lat_vel,ar_source,ar_unsigned_flux,ar_mean_current_helicity,ar_total_unsigned_current_helicity,ar_abs_net_current_helicity,ar_excess_mag_energy_density,ar_free_energy_density,ar_time_tilt,ar_tilt,pil_length,EUV loops comments,Instrument,ROI box [arcsec],EUV loops data start time,EUV loops data end time,Favorite link Hebe
33,24/04/2013,---,Backsided,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130424_1921&etime=20130425_1642&img1=lasc2rdf&title=20130116.071205.p201g;V=860km/s https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2rd&img2=sta_cor2rd&stime=20130424_1900&etime=20130425_1800 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195rd&img2=sta_e195rd&stime=20130424_1900&etime=20130425_0100,"Muy polar. Backsided para SDO, pero descargar imagenes de AIA porque se visualiza bien el filamento.",,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,26/04/2013,11730-sharp2677,Frontsided huge filament?-preguntar hebe,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130426_1921&etime=20130427_0242&img1=lasc2rdf&title=20130116.071205.p201g;V=860km/s https://sdo.gsfc.nasa.gov/data/dailymov/movie.php?q=20130426_1024_0304 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2rd&img2=sta_cor2rd&stime=20130426_1900&etime=20130427_0200                                               https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195&img2=sta_e195&stime=20130426_1900&etime=20130427_0100,Cuadrante Suroeste.,"Backsided para stereo A y B. Stereo A ve algo sobre su limbo, por lo que la fuente está en el lado oeste. ",,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,07/05/2013,---,,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130507_0000&etime=20130507_2312&img1=lasc2rdf&title=20130419.170005.p276g;V=454km/s https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195&img2=sta_e195&stime=20130507_0000&etime=20130508_0000 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130507_0000&etime=20130508_0000,Backsided.,"Hay dos erupciones simultaneas en el polo sur, una a las 8:00hs y otra 14hs, la que nos interesa es la primera. Hebe cree que es frontsided para A.",,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,08/05/2013,---,,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130508_1136&etime=20130508_1801&img1=lasc2rdf&title=20130508.133620.p192g;V=308km/s  https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130508_0800&etime=20130508_2000 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195rd&img2=sta_e195rd&stime=20130508_0800&etime=20130508_1800,Backsided. Frontsided para Stereo A.,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,21/05/2013,---,,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130521_0000&etime=20130521_2312&img1=lasc2rdf&title=20130419.170005.p276g;V=454km/s https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130521_0000&etime=20130522_0000                                                 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195&img2=sta_e195&stime=20130521_0000&etime=20130522_0000,Backsided,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,27/05/2013,---, ,"https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130526_2024&etime=20130527_2345&img1=lasc2rdf&title=20130527.002405.p026g;V=224km/s                                                            https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130527_0000&etime=20130528_0000                                                 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195rd&img2=sta_e195rd&stime=20130526_1600&etime=20130527_1900 https://sdo.gsfc.nasa.gov/data/aiahmi/browse/movie.php
",Creemos que está en el cuadrante noreste. Buscar bien la fuente. No se aprecia bien en SDO. ,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,29/05/2013,---,,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130529_0024&etime=20130529_1845&img1=lasc2rdf&title=20130527.002405.p026g;V=224km/s                                                                                                     https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130529_0000&etime=20130530_0000                                                                                                                                                https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130529_0000&etime=20130530_0000,Backsided,Se aprecia muy bien el filamento en EUVI.,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,31/05/2013,11755,"Filamento muuuuy grande, con una pata en la AR",https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130531_1600&etime=20130531_2359&img1=lasc2rdf&title=20130530.102407.p050g;V=404km/s https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130531_0800&etime=20130531_2359 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130531_1500&etime=20130531_2359,"Sobre el meridional, levemente al norte.",,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,31/05/2013,---,which one?,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,05/06/2013,11762.11763,,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130605_0600&etime=20130605_2059&img1=lasc2rdf&title=20130530.102407.p050g;V=404km/s https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195&img2=sta_e195&stime=20130605_0600&etime=20130605_1800 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130605_0800&etime=20130605_2159,Cuadrante suroeste.,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,17/06/2013,---,"Filamento al sur este, cerca del polo. No hay AR",https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130617_1600&etime=20130617_2359&img1=lasc2rdf&title=20130530.102407.p050g;V=404km/s https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130617_1200&etime=20130617_2359 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130617_1600&etime=20130617_2359 ,Cuadrante sureste. Limbo Solar.,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
