# DATE, R, OH, OH-R, OH-R-1, R/h
2013-01-23 13:15:30.830000,0.2795081868811789,1.5499999523162842,1.2704917654351053,0.27049176543510534,0.26131227799984824
2013-01-23 13:45:30.830000,0.4333333010396003,2.0999999046325684,1.666666603592968,0.666666603592968,0.33232080594544794
2013-01-23 14:25:00.005000,0.8978417163050431,3.200000047683716,2.302158331378673,1.3021583313786729,0.5887217981122549
2013-01-23 14:35:00.006000,1.0428571812048253,3.6500000953674316,2.6071429141626066,1.6071429141626066,0.6205835283275861
2013-01-23 14:45:00.004000,1.1571429239547988,4.050000190734863,2.8928572667800645,1.8928572667800645,0.6205835283275861
2013-01-23 15:15:00.005000,1.5142857848989726,5.300000190734863,3.7857144058358907,2.7857144058358907,0.6205835283275861
2013-01-23 15:24:00.005000,1.714285732532034,6.0,4.2857142674679665,3.2857142674679665,0.6205835283275861
2013-01-23 15:39:00.007000,1.9142856801650954,6.699999809265137,4.785714129100041,3.7857141291000413,0.6205835283275861
2013-01-23 15:54:00.017000,2.1714285672927383,7.599999904632568,5.4285713373398305,4.4285713373398305,0.6205835283275861
2013-01-23 16:24:00.007000,2.514285795542659,8.800000190734863,6.285714395192205,5.285714395192205,0.6205835283275861
