# DATE, LAT, LON, ROT, HAN, RAT, HGT
b'2013-01-29T02:00:30.006',51.999999170302104,314.99999169020066,74.99999867197056,7.999999938029066,0.23999999463558197,1.4600000381469727
b'2013-01-29T02:15:30.831',51.999999170302104,318.000002018967,66.99999617262056,9.99999970909292,0.25,1.7100000381469727
b'2013-01-29T02:45:00.006',63.99999950423253,328.00000002051263,66.99999617262056,11.000000021511672,0.27000001072883606,2.700000047683716
b'2013-01-29T03:15:00.005',63.99999950423253,332.00000468528225,66.99999617262056,11.299999859105203,0.27000001072883606,3.0
b'2013-01-29T03:35:00.006',63.99999950423253,334.9999876932919,66.99999617262056,11.499999750834224,0.27000001072883606,3.5
b'2013-01-29T03:45:00.007',63.99999950423253,334.9999876932919,66.99999617262056,11.499999750834224,0.27000001072883606,3.6500000953674316
b'2013-01-29T04:24:00.005',63.99999950423253,334.9999876932919,66.99999617262056,11.499999750834224,0.27000001072883606,4.900000095367432
b'2013-01-29T04:39:00.005',63.99999950423253,334.9999876932919,66.99999617262056,11.499999750834224,0.27000001072883606,5.5
b'2013-01-29T04:54:00.007',63.99999950423253,334.9999876932919,66.99999617262056,11.499999750834224,0.27000001072883606,6.199999809265137
b'2013-01-29T05:24:00.006',63.99999950423253,334.9999876932919,66.99999617262056,11.499999750834224,0.27000001072883606,7.0
