# DATE, LAT, LON, ROT, HAN, RAT
b'2013-05-17T20:00:30.006',-36.99999875288908,144.71845794558035,60.000001669652114,6.000000166965211,0.16500000655651093
b'2013-05-17T20:15:30.006',-37.999999919081475,140.58068836525163,65.00000067042492,7.000000052497138,0.17000000178813934
b'2013-05-17T20:30:30.006',-37.999999919081475,132.44290045977496,69.99999967119774,7.999999938029066,0.25
b'2013-05-17T21:10:00.007',-48.00000133572169,124.0800714815247,-79.99999767274336,10.50000029218912,0.3100000023841858
b'2013-05-17T21:20:00.008',-48.00000133572169,121.81001712973594,-79.99999767274336,11.499999750834224,0.3149999976158142
b'2013-05-17T21:30:00.005',-48.00000133572169,120.99999767530745,-79.99999767274336,12.500000063252974,0.3199999928474426
b'2013-05-17T21:39:00.007',-49.4999996699157,120.00000333930423,-79.99999767274336,13.49999952189808,0.3230000138282776
b'2013-05-17T21:54:00.006',-50.0000002530119,118.67222822503209,-79.99999767274336,14.49999983431683,0.3269999921321869
b'2013-05-17T22:24:00.006',-50.0000002530119,115.99999867453464,-79.99999767274336,15.000000417413029,0.33000001311302185
b'2013-05-17T22:39:00.005',-50.0000002530119,115.00000433853141,-79.99999767274336,15.000000417413029,0.33000001311302185
