# DATE, R, OH, OH-R, OH-R-1, R/h
2011-06-05 02:20:30.005000,0.17831857279684107,1.5499999523162842,1.3716813795194431,0.37168137951944313,0.15759125252812223
2011-06-05 02:30:30.005000,0.32536586024045894,1.7400000095367432,1.4146341492962842,0.41463414929628417,0.3053000037042743
2011-06-05 02:45:30.005000,0.3425806352944267,1.7699999809265137,1.427419345632087,0.42741934563208694,0.32362647736149985
2011-06-05 05:10:00.004000,0.7000000127591194,3.200000047683716,2.5000000349245965,1.5000000349245965,0.4181715963480986
2011-06-05 05:40:00.004000,0.7762867400883334,3.5000998973846436,2.72381315729631,1.72381315729631,0.43088891564954757
2011-06-05 06:10:00.006000,0.8497674164738509,3.7799999713897705,2.9302325549159196,1.9302325549159196,0.44389670405864995
2011-06-05 06:40:00.006000,1.0038461625223318,4.349999904632568,3.3461537421102365,2.3461537421102365,0.47521783907899434
2011-06-05 07:08:00.004000,1.1713740075428534,4.949999809265137,3.778625801722283,2.778625801722283,0.5037017165988819
2011-06-05 07:39:00.014000,1.478787830627983,6.099999904632568,4.6212120740045854,3.6212120740045854,0.5416980897365571
2011-06-05 07:54:00.008000,1.599130861730428,6.550000190734863,4.950869329004435,3.950869329004435,0.5585071589005383
2011-06-05 08:24:00.006000,1.9849624653197881,8.0,6.015037534680212,5.015037534680212,0.6043323799739657
2011-06-05 08:39:00.007000,2.158646633710077,8.699999809265137,6.541353175555059,5.541353175555059,0.6163306684021987
2011-06-05 08:54:00.021000,2.4067669418750506,9.699999809265137,7.293232867390087,6.293232867390087,0.6163306684021987
