# DATE, R, OH, OH-R, OH-R-1, R/(OH-R-1)
2013-05-17 20:00:30.006000,0.21952789772999265,1.5499999523162842,1.3304720545862916,0.3304720545862916,0.18837971079961913
2013-05-17 20:15:30.006000,0.2615384569613264,1.7999999523162842,1.5384614953549578,0.5384614953549578,0.19786844609236812
2013-05-17 20:30:30.006000,0.4599999904632569,2.299999952316284,1.8399999618530272,0.8399999618530272,0.30676490825721253
2013-05-17 21:10:00.007000,0.851908379380196,3.5999999046325684,2.7480915252523723,1.7480915252523723,0.41236253096546466
2013-05-17 21:20:00.008000,0.9581748994279269,4.0,3.041825100572073,2.041825100572073,0.42801003400289306
2013-05-17 21:30:00.005000,1.0909090724365769,4.5,3.4090909275634234,2.4090909275634234,0.4441975558511149
2013-05-17 21:39:00.007000,1.22071054592673,5.0,3.77928945407327,2.77928945407327,0.45744873379642603
2013-05-17 21:54:00.006000,1.4292389057889732,5.800000190734863,4.37076128494589,3.37076128494589,0.4728922317675523
2013-05-17 22:24:00.006000,1.7988722341960581,7.25,5.451127765803942,4.451127765803942,0.48262192520184155
2013-05-17 22:39:00.005000,2.0097745907866718,8.100000381469727,6.090225790683055,5.090225790683055,0.4826219252018415
