# DATE, LAT, LON, ROT, HAN, RAT, HGT
b'2013-05-27T18:45:30.009',-36.99999875288908,54.999999253784715,-19.99999941818584,11.000000021511672,0.11999999731779099,1.5700000524520874
b'2013-05-27T19:00:30.009',-39.00000108527387,54.999999253784715,-19.99999941818584,12.000000333930423,0.1599999964237213,1.7999999523162842
b'2013-05-27T19:15:30.006',-42.99999891985429,54.999999253784715,-19.99999941818584,14.000000104994276,0.25,2.0999999046325684
b'2013-05-27T19:30:00.006',-47.000000169529294,54.999999253784715,-19.99999941818584,15.999999876058132,0.36000001430511475,2.5999999046325684
b'2013-05-27T19:50:00.006',-48.9999990868195,54.999999253784715,-19.99999941818584,16.74999904315514,0.3799999952316284,3.3499999046325684
b'2013-05-27T20:00:00.005',-49.4999996699157,54.999999253784715,-19.99999941818584,16.999999334703237,0.38999998569488525,3.700000047683716
b'2013-05-27T20:10:00.006',-50.0000002530119,54.999999253784715,-19.99999941818584,16.999999334703237,0.38999998569488525,4.199999809265137
b'2013-05-27T20:20:00.005',-50.0000002530119,54.999999253784715,-19.99999941818584,16.999999334703237,0.39500001072883606,4.5
b'2013-05-27T20:30:00.004',-50.0000002530119,54.999999253784715,-19.99999941818584,16.999999334703237,0.4000000059604645,4.900000095367432
b'2013-05-27T20:39:00.005',-50.0000002530119,54.999999253784715,-19.99999941818584,16.999999334703237,0.4000000059604645,5.400000095367432
b'2013-05-27T21:24:00.007',-50.0000002530119,54.999999253784715,-19.99999941818584,16.999999334703237,0.4000000059604645,7.300000190734863
b'2013-05-27T21:39:00.005',-50.0000002530119,54.999999253784715,-19.99999941818584,16.999999334703237,0.4000000059604645,8.0
b'2013-05-27T21:54:00.005',-50.0000002530119,54.999999253784715,-19.99999941818584,16.999999334703237,0.4000000059604645,8.699999809265137
