# ERUPTIONDATE, LAT, LON, ROT, HAN, RAT
b'2013-05-26T18:40:30.007',0.0,0.0,0.0,30.000000834826057,0.4000000059604645
b'2013-05-26T18:50:30.006',0.0,0.0,0.0,30.000000834826057,0.4000000059604645
