# DATE, LAT, LON, ROT, HAN, RAT
b'2010-12-12T03:15:30.005',50.999998004109706,115.00000433853141,-18.000000500895634,6.000000166965211,0.12999999523162842
b'2010-12-12T04:00:30.010',48.9999990868195,116.99999301053786,-18.000000500895634,6.499999896287763,0.15000000596046448
b'2010-12-12T05:25:00.006',48.00000133572169,127.00000467246183,-19.99999941818584,8.499999667351618,0.1850000023841858
b'2010-12-12T05:45:00.005',47.50000075262549,127.99999900846505,-22.999999501668448,9.300000088041347,0.19200000166893005
b'2010-12-12T06:05:00.006',47.000000169529294,127.99999900846505,-25.00000012650595,9.7999998173639,0.1979999989271164
b'2010-12-12T06:25:00.005',47.000000169529294,127.99999900846505,-26.99999904379616,10.100000508731078,0.20000000298023224
b'2010-12-12T06:45:00.006',47.000000169529294,127.99999900846505,-26.99999904379616,10.50000029218912,0.20999999344348907
b'2010-12-12T07:24:00.006',47.000000169529294,127.99999900846505,-26.99999904379616,11.800000442201402,0.23000000417232513
b'2010-12-12T07:39:00.006',47.000000169529294,127.99999900846505,-26.99999904379616,12.000000333930423,0.23499999940395355
b'2010-12-12T07:54:00.006',47.000000169529294,127.99999900846505,-26.99999904379616,12.000000333930423,0.23999999463558197
b'2010-12-12T08:24:00.006',47.000000169529294,127.99999900846505,-26.99999904379616,12.000000333930423,0.23999999463558197
b'2010-12-12T08:39:00.005',47.000000169529294,127.99999900846505,-26.99999904379616,12.000000333930423,0.23999999463558197
