# DATE, LAT, LON, ROT, HAN, RAT
b'2011-06-05T02:20:30.005',39.00000108527387,347.40418496192535,-33.49999808631028,9.99999970909292,0.12999999523162842
b'2011-06-05T02:30:30.005',34.99999983559887,345.3122892644472,-33.49999808631028,12.999999792575526,0.23000000417232513
b'2011-06-05T02:45:30.005',34.49999925250267,344.99998569483756,-33.49999808631028,13.600000321536236,0.23999999463558197
b'2011-06-05T05:10:00.004',33.99999866940647,336.0000093500518,-33.000000918308665,18.000000500895634,0.2800000011920929
b'2011-06-05T05:40:00.004',33.99999866940647,334.5706966435783,-32.50000033521246,18.49999937644454,0.2849999964237213
b'2011-06-05T06:10:00.006',33.99999866940647,332.9999990212855,-32.50000033521246,18.999999959540737,0.28999999165534973
b'2011-06-05T06:40:00.006',33.99999866940647,332.50000185328383,-31.999999752116263,20.50000000128204,0.30000001192092896
b'2011-06-05T07:08:00.004',33.99999866940647,332.00000468528225,-31.999999752116263,21.499999459927146,0.3100000023841858
b'2011-06-05T07:39:00.014',33.99999866940647,331.000010349279,-31.999999752116263,23.299998485488334,0.3199999928474426
b'2011-06-05T07:54:00.008',33.99999866940647,331.000010349279,-31.999999752116263,24.29999965168073,0.3230000138282776
b'2011-06-05T08:24:00.006',33.99999866940647,329.9999886925191,-31.999999752116263,27.000900628766598,0.33000001311302185
b'2011-06-05T08:39:00.007',33.99999866940647,328.99999435651586,-31.999999752116263,28.000000209988553,0.33000001311302185
b'2011-06-05T08:54:00.021',33.99999866940647,328.00000002051263,-31.999999752116263,28.000000209988553,0.33000001311302185
