# DATE, LAT, LON, ROT, HAN, RAT, HGT
b'2013-01-23T13:15:30.830',30.000000834826057,1.9999999845072665,-45.00000125223908,7.000000052497138,0.2199999988079071,1.5499999523162842
b'2013-01-23T13:45:30.830',30.000000834826057,1.9999999845072665,-45.00000125223908,9.99999970909292,0.25999999046325684,2.0999999046325684
b'2013-01-23T14:25:00.005',37.999999919081475,6.499999896287763,-15.000000417413029,14.000000104994276,0.38999998569488525,3.200000047683716
b'2013-01-23T14:35:00.006',39.00000108527387,7.999999938029066,-15.000000417413029,15.000000417413029,0.4000000059604645,3.6500000953674316
b'2013-01-23T14:45:00.004',39.499998253275486,9.99999970909292,-15.000000417413029,15.000000417413029,0.4000000059604645,4.050000190734863
b'2013-01-23T15:15:00.005',40.49999941946788,12.000000333930423,0.0,15.000000417413029,0.4000000059604645,5.300000190734863
b'2013-01-23T15:24:00.005',41.00000000256408,12.999999792575526,0.0,15.000000417413029,0.4000000059604645,6.0
b'2013-01-23T15:39:00.007',41.50000058566028,14.000000104994276,9.99999970909292,15.000000417413029,0.4000000059604645,6.699999809265137
b'2013-01-23T15:54:00.017',42.00000116875648,15.000000417413029,9.99999970909292,15.000000417413029,0.4000000059604645,7.599999904632568
b'2013-01-23T16:24:00.007',42.00000116875648,15.999999876058132,15.000000417413029,15.000000417413029,0.4000000059604645,8.800000190734863
